Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,isPreGPT,isSTEM,isAbstract,isWritten,isUD
"Patrick, Gentry",BILD 1,SP23,134,44,0.878,0.78,5.86,3.03,2.91,False,False,False,False,False
"Rusert, Jessica Marie",BILD 1,SP23,157,102,0.812,0.86,5.81,2.93,2.44,False,False,False,False,False
"Burg, Michael",BILD 2,SP23,238,186,0.9620000000000001,0.9520000000000001,5.39,3.23,2.94,False,False,False,False,False
"Park, Ji Young",BILD 2,SP23,205,165,0.963,0.963,6.1,3.42,3.01,False,False,False,False,False
"Park, Ji Young",BILD 2,SP23,245,197,0.9390000000000001,0.938,5.72,3.43,2.92,False,False,False,False,False
"Pillus, Lorraine",BILD 20,SP23,121,99,0.708,0.84,4.13,2.78,3.06,False,False,False,False,False
"Goldrath, Ananda",BILD 28,SP23,63,41,0.75,0.85,5.09,2.61,2.92,False,False,False,False,False
"Stockwell, Sarah R",BILD 3,SP23,343,265,0.875,0.9159999999999999,4.77,3.35,2.9,False,False,False,False,False
"Reuther, Keefe",BILD 3,SP23,318,230,0.8859999999999999,0.93,4.77,3.31,3.0,False,False,False,False,False
"Madigan, Cressida Ariana",BILD 30,SP23,87,73,0.973,0.932,3.18,3.69,3.17,False,False,False,False,False
"Mel, Stephanie",BILD 4,SP23,93,39,1.0,1.0,3.5,3.61,3.48,False,False,False,False,False
"Pickett, Brooke Elizabeth",BILD 4,SP23,104,82,0.963,0.951,2.82,3.85,3.78,False,False,False,False,False
"Reuther, Keefe",BILD 4,SP23,99,70,0.941,0.971,3.03,3.7,3.73,False,False,False,False,False
"Mayfield, Stephen P.",BILD 42,SP23,91,34,0.97,0.938,5.95,3.21,2.84,False,False,False,False,False
"Mueller, Liam O'Connor",BILD 5,SP23,53,34,0.971,1.0,4.56,3.71,3.52,False,False,False,False,False
"Rifkin, Scott",BILD 61,SP23,113,42,0.757,0.919,6.24,3.73,3.41,False,False,False,False,False
"Pogliano, Joseph",BILD 83,SP23,31,11,1.0,1.0,2.32,3.88,4.0,False,False,False,False,False
"Pickett, Brooke Elizabeth",BILD 1,WI23,270,248,0.907,0.9109999999999999,5.73,3.22,2.81,False,False,False,False,False
"Owens, Melinda Tsao-Ying",BILD 1,WI23,275,223,0.95,0.9590000000000001,5.58,3.49,3.17,False,False,False,False,False
"Owens, Melinda Tsao-Ying",BILD 1,WI23,253,215,0.953,0.977,5.71,3.59,3.3,False,False,False,False,False
"Madigan, Cressida Ariana",BILD 1,WI23,246,187,0.8809999999999999,0.8809999999999999,5.08,3.34,3.69,False,False,False,False,False
"Komiyama, Takaki",BILD 12,WI23,77,34,0.97,0.97,3.32,3.36,2.86,False,False,False,False,False
"Schroeder, Julian I",BILD 2,WI23,253,183,0.961,0.9440000000000001,4.64,3.5,3.25,False,False,False,False,False
"Park, Ji Young",BILD 2,WI23,208,171,0.982,0.982,6.06,3.59,3.27,False,False,False,False,False
"Su, Chih-Ying",BILD 2,WI23,20,11,0.909,0.909,7.77,3.0,2.87,False,False,False,False,False
"Reyes Gonzalez, Catalina",BILD 2,WI23,96,80,0.9129999999999999,0.924,5.45,3.23,3.03,False,False,False,False,False
"Strause, Linda G.",BILD 22,WI23,342,172,0.946,0.9390000000000001,3.99,3.32,3.44,False,False,False,False,False
"Hammond, LaTisha Marie",BILD 3,WI23,282,121,0.991,0.8390000000000001,3.81,3.68,3.6,False,False,False,False,False
"Kurle, Carolyn M.",BILD 3,WI23,282,121,0.991,1.0,3.81,3.68,3.6,False,False,False,False,False
"Hammond, LaTisha Marie",BILD 3,WI23,312,150,0.912,0.883,4.0,3.55,3.26,False,False,False,False,False
"Kohn, Joshua R",BILD 3,WI23,312,150,0.912,0.7859999999999999,4.0,3.55,3.26,False,False,False,False,False
"Butler, Shannon Rhey",BILD 3,WI23,367,237,0.9009999999999999,0.884,4.58,3.3,3.28,False,False,False,False,False
"Macagno, Eduardo R.",BILD 38,WI23,63,37,0.909,0.912,3.24,3.71,3.73,False,False,False,False,False
"Lo, Stanley M.",BILD 4,WI23,130,78,0.96,1.0,3.38,3.8,3.74,False,False,False,False,False
"Mel, Stephanie",BILD 4,WI23,154,74,0.9440000000000001,0.986,3.03,3.68,3.59,False,False,False,False,False
"Reuther, Keefe",BILD 4,WI23,130,86,0.93,0.929,2.92,3.71,3.47,False,False,False,False,False
"Pickett, Brooke Elizabeth",BILD 4,WI23,177,147,0.9590000000000001,0.904,3.19,3.77,3.65,False,False,False,False,False
"Cleland, Elsa Eleanor",BILD 46,WI23,61,29,0.966,0.966,3.12,3.59,3.5,False,False,False,False,False
"Mueller, Liam O'Connor",BILD 5,WI23,37,27,0.963,1.0,4.28,3.67,3.34,False,False,False,False,False
"Mel, Stephanie",BILD 60,WI23,47,21,1.0,0.9520000000000001,3.07,3.89,3.83,False,False,False,False,False
"Juavinett, Ashley Lauren",BILD 62,WI23,89,43,0.953,0.977,5.15,3.78,3.75,False,False,False,False,False
"Pogliano, Joseph",BILD 81,WI23,30,11,1.0,1.0,1.7,3.7,3.87,False,False,False,False,False
"Pickett, Brooke Elizabeth",BILD 1,FA22,238,103,0.94,0.9490000000000001,4.9,3.3,2.53,False,False,False,False,False
"Pekkurnaz Banghart, Gulcin",BILD 1,FA22,251,219,0.927,0.9179999999999999,6.08,3.15,3.48,False,False,False,False,False
"Meaders, Clara Leigh",BILD 1,FA22,252,168,0.988,0.9940000000000001,5.98,3.63,3.59,False,False,False,False,False
"Meaders, Clara Leigh",BILD 1,FA22,251,170,0.976,0.982,5.75,3.62,3.62,False,False,False,False,False
"Cooper, Andrew Michael",BILD 1,FA22,212,178,0.927,0.892,6.03,3.1,2.75,False,False,False,False,False
"Gustafson-Brown, Cindy",BILD 10,FA22,184,139,0.914,0.978,4.83,3.07,2.81,False,False,False,False,False
"Glasgow, Stacey Marie",BILD 2,FA22,39,29,0.9309999999999999,0.897,4.64,3.54,3.29,False,False,False,False,False
"Owens, Melinda Tsao-Ying",BILD 2,FA22,178,123,1.0,0.941,5.46,3.74,3.03,False,False,False,False,False
"Owens, Melinda Tsao-Ying",BILD 2,FA22,194,127,0.9690000000000001,0.953,5.17,3.79,3.17,False,False,False,False,False
"Rana, Brinda Kanti",BILD 20,FA22,157,90,0.875,0.875,3.66,3.42,3.06,False,False,False,False,False
"Stockwell, Sarah R",BILD 3,FA22,281,194,0.927,0.9790000000000001,4.77,3.39,3.17,False,False,False,False,False
"Stockwell, Sarah R",BILD 3,FA22,285,212,0.9620000000000001,0.981,4.2,3.37,3.12,False,False,False,False,False
"Butler, Shannon Rhey",BILD 3,FA22,241,155,0.87,0.889,5.06,3.2,3.1,False,False,False,False,False
"Reuther, Keefe",BILD 3,FA22,275,215,0.855,0.9,4.9,2.95,3.21,False,False,False,False,False
"Burg, Michael",BILD 32,FA22,213,175,0.9540000000000001,0.9890000000000001,4.47,3.13,2.71,False,False,False,False,False
"Mel, Stephanie",BILD 4,FA22,382,206,0.9490000000000001,0.98,3.22,3.56,3.77,False,False,False,False,False
"Lo, Stanley M.",BILD 4,FA22,376,285,0.9390000000000001,0.9570000000000001,3.31,3.72,3.87,False,False,False,False,False
"Reuther, Keefe",BILD 5,FA22,49,29,0.897,0.966,6.43,3.44,3.42,False,False,False,False,False
"Hammond, LaTisha Marie",BILD 60,FA22,47,21,0.95,0.95,3.5,3.8,3.68,False,False,False,False,False
"Macagno, Eduardo R.",BILD 60,FA22,50,18,0.611,0.667,3.28,3.76,3.79,False,False,False,False,False
"Aljadeff, Johnatan",BILD 62,FA22,83,40,0.59,0.436,4.91,3.38,2.71,False,False,False,False,False
"Pogliano, Joseph",BILD 80,FA22,42,10,1.0,0.9,2.3,3.88,3.83,False,False,False,False,False
"Pogliano, Joseph",BILD 84R,FA22,64,30,0.966,1.0,1.74,3.96,3.91,False,False,False,False,False
"Cooper, Andrew Michael",BILD 1,SP22,188,160,0.856,0.8490000000000001,5.15,3.23,3.15,False,False,False,False,False
"Meaders, Clara Leigh",BILD 1,SP22,186,137,0.9620000000000001,0.992,5.67,3.62,3.38,False,False,False,False,False
"Rusert, Jessica Marie",BILD 1,SP22,89,66,0.924,0.877,4.83,3.02,2.74,False,False,False,False,False
"Rusert, Jessica Marie",BILD 1,SP22,107,75,0.945,0.9179999999999999,5.77,3.38,2.94,False,False,False,False,False
"Alfonso, Stephanie Isabel",BILD 1,SP22,59,17,0.706,0.47100000000000003,5.79,3.19,2.46,False,False,False,False,False
"Owens, Melinda Tsao-Ying",BILD 2,SP22,189,151,0.987,0.993,5.94,3.62,3.09,False,False,False,False,False
"Park, Ji Young",BILD 2,SP22,156,105,0.981,0.971,5.55,3.55,3.04,False,False,False,False,False
"Park, Ji Young",BILD 2,SP22,153,113,0.937,0.991,5.43,3.61,3.23,False,False,False,False,False
"Park, Ji Young",BILD 2,SP22,157,118,0.966,0.983,5.39,3.58,3.19,False,False,False,False,False
"Goldrath, Ananda",BILD 28,SP22,72,27,0.833,0.958,4.5,3.3,2.73,False,False,False,False,False
"Cooper, Kimberly Lynn",BILD 3,SP22,138,97,0.9890000000000001,1.0,4.4,3.22,2.89,False,False,False,False,False
"Stockwell, Sarah R",BILD 3,SP22,185,135,0.948,0.978,4.66,3.49,3.21,False,False,False,False,False
"Kurle, Carolyn M.",BILD 3,SP22,188,84,0.988,1.0,3.81,3.6,3.64,False,False,False,False,False
"Hammond, LaTisha Marie",BILD 3,SP22,167,64,0.903,0.968,4.34,3.46,3.17,False,False,False,False,False
"Caffrey, Carolee",BILD 3,SP22,83,43,0.767,0.767,5.36,3.0,2.38,False,False,False,False,False
"Mel, Stephanie",BILD 4,SP22,177,111,0.9179999999999999,0.9690000000000001,3.49,3.59,3.61,False,False,False,False,False
"Pickett, Brooke Elizabeth",BILD 4,SP22,187,120,0.9670000000000001,0.9329999999999999,2.88,3.86,3.79,False,False,False,False,False
"Mueller, Liam O'Connor",BILD 5,SP22,27,15,0.867,0.9329999999999999,4.36,3.77,3.38,False,False,False,False,False
"Rifkin, Scott",BILD 60,SP22,44,19,0.8420000000000001,1.0,5.24,3.69,3.29,False,False,False,False,False
"Juavinett, Ashley Lauren",BILD 62,SP22,46,23,0.955,1.0,4.86,3.89,3.73,False,False,False,False,False
"Cooper, Andrew Michael",BILD 1,WI22,154,127,0.9209999999999999,0.887,6.04,3.09,2.87,False,False,False,False,False
"Owens, Melinda Tsao-Ying",BILD 1,WI22,190,149,0.986,0.993,5.18,3.77,3.57,False,False,False,False,False
"Owens, Melinda Tsao-Ying",BILD 1,WI22,345,286,0.972,0.996,5.37,3.74,3.53,False,False,False,False,False
"Dutton, Rachel Janelle",BILD 1,WI22,227,197,0.9640000000000001,0.9690000000000001,5.01,3.54,3.58,False,False,False,False,False
"Cooper, Andrew Michael",BILD 1,WI22,156,126,0.8959999999999999,0.888,4.47,3.31,3.07,False,False,False,False,False
"Park, Ji Young",BILD 2,WI22,159,132,0.9690000000000001,0.985,5.19,3.67,3.42,False,False,False,False,False
"Schroeder, Julian I",BILD 2,WI22,159,110,0.8909999999999999,0.889,4.59,3.34,3.43,False,False,False,False,False
"Reyes Gonzalez, Catalina",BILD 2,WI22,116,87,0.966,0.919,5.44,3.12,2.85,False,False,False,False,False
