Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,isPreGPT,isSTEM,isAbstract,isWritten,isUD
"Sahoo, Debashis",CSE 100,SP23,192,80,0.9590000000000001,0.797,7.87,3.65,3.37,False,True,False,False,True
"Sahoo, Debashis",CSE 100R,SP23,245,80,0.946,0.7120000000000001,8.39,3.58,3.49,False,True,False,False,True
"Jones, Miles E",CSE 101,SP23,469,157,0.922,0.948,8.8,3.43,3.43,False,True,False,False,True
"Micciancio, Daniele",CSE 107,SP23,82,23,0.7140000000000001,0.7140000000000001,7.74,3.19,2.36,False,True,True,False,True
"Cao, Yingjun",CSE 11,SP23,126,43,1.0,0.976,8.6,3.47,3.11,False,True,False,False,False
"Powell, Thomas Allan",CSE 110,SP23,291,88,0.679,0.675,7.94,3.7,3.41,False,True,False,False,True
"Miranda, Gregory Joseph",CSE 110,SP23,97,61,0.8170000000000001,0.95,9.4,3.48,3.38,False,True,False,False,True
"Cao, Yingjun",CSE 12,SP23,253,93,0.9670000000000001,0.9670000000000001,7.9,3.61,3.33,False,True,False,False,False
"Zhang, Yiying",CSE 120,SP23,169,67,0.774,0.774,11.53,3.33,3.18,False,True,False,False,True
"Shalev, Aaron D",CSE 123,SP23,59,16,1.0,1.0,12.23,3.0,2.46,False,True,False,False,True
"Voelker, Geoffrey M.",CSE 125,SP23,36,10,1.0,1.0,9.17,3.88,4.0,False,True,False,False,True
"Fernandes, Earlence T",CSE 127,SP23,182,47,0.8370000000000001,0.767,8.78,3.22,3.29,False,True,False,False,True
"Polikarpova, Nadezhda",CSE 130,SP23,174,55,0.9259999999999999,0.9440000000000001,8.12,3.79,3.53,False,True,True,False,True
"Deutsch, Alin Bernard",CSE 132B,SP23,53,13,0.9229999999999999,0.9229999999999999,8.96,3.54,3.71,False,True,False,False,True
"Kumar, Arun Kumar",CSE 132C,SP23,36,28,0.929,0.929,8.79,3.48,2.81,False,True,False,False,True
"Powell, Thomas Allan",CSE 135,SP23,124,31,0.9329999999999999,0.9329999999999999,11.6,3.32,3.22,False,True,False,False,True
"Chin, Bryan W.",CSE 140,SP23,234,124,0.8690000000000001,0.9179999999999999,7.85,3.39,2.93,False,True,True,False,True
"Eldon, John",CSE 140L,SP23,231,69,0.7829999999999999,0.855,6.8,3.7,3.49,False,True,False,False,True
"Eldon, John",CSE 141L,SP23,174,57,0.804,0.92,7.65,3.46,3.37,False,True,False,False,True
"Gupta, Rajesh K.",CSE 143,SP23,24,7,0.857,1.0,5.64,3.2,3.31,False,True,False,False,True
"Gao, Sicun",CSE 150B,SP23,337,93,0.977,0.977,7.19,3.72,3.64,False,True,False,False,True
"Shang, Jingbo",CSE 151A,SP23,188,102,0.941,0.9009999999999999,5.88,3.74,3.72,False,True,False,False,True
"Yu, Qi",CSE 151B,SP23,215,156,0.765,0.7040000000000001,9.23,3.57,3.63,False,True,False,False,True
"Chandraker, Manmohan Krishna",CSE 152B,SP23,52,32,0.9059999999999999,0.9059999999999999,8.19,3.69,3.73,False,True,False,False,True
"Schulze, Jurgen P.",CSE 165,SP23,30,4,1.0,1.0,14.5,4.0,3.82,False,True,False,False,True
"Weibel, Nadir",CSE 165,SP23,30,4,1.0,0.667,14.5,4.0,3.82,False,True,False,False,True
"Li, Tzumao",CSE 168,SP23,40,13,1.0,1.0,11.42,3.6,3.62,False,True,False,False,True
"Kumar, Rakesh",CSE 175,SP23,47,35,0.914,0.857,4.96,3.8,3.27,False,True,False,False,True
"Bafna, Vineet",CSE 182,SP23,20,10,0.889,1.0,7.0,3.63,3.74,False,True,False,False,True
"Gymrek, Melissa Ann",CSE 185,SP23,104,59,0.983,1.0,8.29,3.89,3.75,False,True,False,False,True
"Soosai Raj, Adalbert Geral",CSE 190,SP23,48,33,0.968,1.0,5.6,3.97,3.91,False,True,False,False,True
"Lerner, Ian Amihay",CSE 191,SP23,20,5,0.8,1.0,2.5,4.0,4.0,False,True,False,False,True
"Briones, Jor-el Thomas Caparas",CSE 20,SP23,279,187,0.8859999999999999,0.897,7.25,3.42,3.54,False,True,True,False,False
"Jones, Miles E",CSE 21,SP23,283,140,0.9079999999999999,0.924,6.95,3.51,3.22,False,True,False,False,False
"Porter, Leonard Emerson",CSE 30,SP23,181,137,0.735,0.649,12.17,3.16,2.78,False,True,False,False,False
"Porter, Leonard Emerson",CSE 30,SP23,182,139,0.79,0.7959999999999999,11.6,3.22,2.86,False,True,False,False,False
"Chin, Bryan W.",CSE 30,SP23,126,79,0.846,0.872,11.34,3.23,2.48,False,True,False,False,False
"Moshiri, Alexander Niema",CSE 6R,SP23,134,93,0.89,0.978,6.06,3.25,3.03,False,True,False,False,False
"Elsherif, May Elhussein",CSE 8A,SP23,190,78,0.805,0.805,6.22,3.49,2.93,False,True,False,False,False
"Moshiri, Alexander Niema",CSE 100,WI23,188,133,0.97,0.985,7.82,3.6,3.36,False,True,False,False,True
"Moshiri, Alexander Niema",CSE 100R,WI23,315,250,0.988,0.9840000000000001,7.87,3.68,3.47,False,True,False,False,True
"Kane, Daniel Mertz",CSE 101,WI23,425,169,0.867,0.883,12.24,3.1,3.08,False,True,False,False,True
"Jones, Miles E",CSE 105,WI23,340,142,0.8420000000000001,0.9490000000000001,8.51,3.49,3.25,False,True,True,False,True
"Bellare, Mihir",CSE 107,WI23,56,11,0.909,0.909,6.14,3.7,2.76,False,True,True,False,True
"Miranda, Gregory Joseph",CSE 11,WI23,287,107,0.9129999999999999,0.873,8.54,3.63,3.41,False,True,False,False,False
"Griswold, William G.",CSE 110,WI23,214,149,0.626,0.5710000000000001,12.35,3.53,3.33,False,True,False,False,True
"Cao, Yingjun",CSE 12,WI23,230,181,0.972,0.9390000000000001,8.03,3.71,3.6,False,True,False,False,False
"Cao, Yingjun",CSE 12,WI23,341,285,0.9790000000000001,0.95,7.73,3.74,3.73,False,True,False,False,False
"Pasquale, Joseph",CSE 120,WI23,188,64,0.847,0.879,11.74,3.02,3.01,False,True,False,False,True
"Pasquale, Joseph",CSE 120,WI23,145,52,0.8959999999999999,0.938,11.1,3.2,3.08,False,True,False,False,True
"Shalev, Aaron D",CSE 123,WI23,90,27,0.769,0.9620000000000001,13.24,3.25,2.68,False,True,False,False,True
"Heninger, Nadia A",CSE 127,WI23,176,60,0.895,0.86,9.36,3.33,3.28,False,True,False,False,True
"Borkowski, Michael Humes",CSE 130,WI23,82,69,0.765,0.8059999999999999,8.26,3.18,3.19,False,True,True,False,True
"Vianu, Victor Dan",CSE 132A,WI23,187,67,0.7879999999999999,0.773,7.24,3.26,2.71,False,True,True,False,True
"Powell, Thomas Allan",CSE 134B,WI23,181,54,0.885,0.863,8.81,3.32,3.1,False,True,False,False,True
"Eldon, John",CSE 140,WI23,135,86,0.698,0.826,7.23,3.3,3.09,False,True,True,False,True
"Chin, Bryan W.",CSE 140L,WI23,139,110,0.727,0.882,12.39,3.51,3.45,False,True,False,False,True
"Tullsen, Dean Michael",CSE 141,WI23,174,119,0.863,0.838,7.72,2.98,2.9,False,True,False,False,True
"Eldon, John",CSE 141L,WI23,170,51,0.872,0.9570000000000001,7.43,3.37,3.29,False,True,False,False,True
"Dasgupta, Sanjoy",CSE 151A,WI23,137,46,0.955,1.0,8.55,3.49,3.22,False,True,False,False,True
"Dasgupta, Sanjoy",CSE 151A,WI23,132,41,0.973,0.973,8.5,3.74,3.25,False,True,False,False,True
"Chandraker, Manmohan Krishna",CSE 152A,WI23,138,102,0.961,0.961,9.6,3.46,3.51,False,True,False,False,True
"Politz, Joseph Gibbs",CSE 15L,WI23,236,153,0.9329999999999999,0.932,3.79,3.87,3.77,False,True,False,False,False
"Politz, Joseph Gibbs",CSE 15L,WI23,322,209,0.98,0.975,3.84,3.92,3.8,False,True,False,False,False
"Kastner, Ryan Charles",CSE 160,WI23,147,93,0.956,0.978,7.02,3.53,3.37,False,True,True,False,True
"Ochoa, Benjamin Lawrence",CSE 166,WI23,58,22,0.818,0.818,8.68,2.95,2.7,False,True,False,False,True
"Ramamoorthi, Ravi",CSE 167,WI23,128,69,0.87,0.884,9.41,3.5,3.22,False,True,False,False,True
"Rotenberg, Steven Paul",CSE 169,WI23,42,17,0.941,0.941,9.68,3.56,3.14,False,True,False,False,True
"Pevzner, Pavel Arkadjevich",CSE 181,WI23,20,15,0.9329999999999999,0.9329999999999999,14.77,3.67,3.62,False,True,False,False,True
"Bandeira, Nuno Filipe Cabrita",CSE 190,WI23,28,12,0.917,1.0,6.68,3.36,2.78,False,True,False,False,True
"Jones, Miles E",CSE 20,WI23,281,144,0.892,0.9209999999999999,6.8,3.63,3.24,False,True,True,False,False
"Briones, Jor-el Thomas Caparas",CSE 21,WI23,261,191,0.932,0.894,7.51,3.58,3.69,False,True,False,False,False
"Soosai Raj, Adalbert Geral",CSE 30,WI23,167,151,0.953,0.9520000000000001,9.59,3.44,3.09,False,True,False,False,False
"Soosai Raj, Adalbert Geral",CSE 30,WI23,194,178,0.955,0.9890000000000001,10.24,3.39,3.05,False,True,False,False,False
"Elsherif, May Elhussein",CSE 8A,WI23,195,63,0.887,0.914,6.82,3.55,3.24,False,True,False,False,False
"Miranda, Gregory Joseph",CSE 8B,WI23,343,148,0.865,0.703,6.98,3.53,3.41,False,True,False,False,False
"Moshiri, Alexander Niema",CSE 100,FA22,190,141,0.986,0.993,7.91,3.64,3.38,False,True,False,False,True
"Moshiri, Alexander Niema",CSE 100R,FA22,258,184,0.995,0.9890000000000001,8.47,3.63,3.52,False,True,False,False,True
"Jones, Miles E",CSE 101,FA22,377,107,0.78,0.98,9.72,3.14,3.22,False,True,False,False,True
"Saha, Barna",CSE 101,FA22,377,107,0.78,0.6970000000000001,9.72,3.14,3.22,False,True,False,False,True
"Freund, Yoav",CSE 103,FA22,69,28,0.821,0.7859999999999999,7.09,3.37,2.85,False,True,False,False,True
"Micciancio, Daniele",CSE 105,FA22,182,74,0.6579999999999999,0.444,10.09,3.16,2.93,False,True,True,False,True
"Bellare, Mihir",CSE 107,FA22,77,21,0.9,0.95,7.74,3.19,2.88,False,True,True,False,True
"Cao, Yingjun",CSE 11,FA22,174,140,0.971,0.971,8.63,3.71,3.52,False,True,False,False,False
"Cao, Yingjun",CSE 11,FA22,176,148,0.973,0.966,8.3,3.63,3.55,False,True,False,False,False
"Cao, Yingjun",CSE 11,FA22,183,150,0.9590000000000001,0.9259999999999999,8.6,3.59,3.44,False,True,False,False,False
"Powell, Thomas Allan",CSE 110,FA22,386,110,0.693,0.737,8.94,3.6,3.58,False,True,False,False,True
"Miranda, Gregory Joseph",CSE 12,FA22,77,21,0.857,0.7140000000000001,11.17,3.1,2.72,False,True,False,False,False
"Miranda, Gregory Joseph",CSE 12,FA22,131,52,0.804,0.7759999999999999,11.09,3.2,3.35,False,True,False,False,False
"Miranda, Gregory Joseph",CSE 12,FA22,128,34,0.7809999999999999,0.742,9.89,3.12,3.06,False,True,False,False,False
"Voelker, Geoffrey M.",CSE 120,FA22,273,86,0.938,1.0,10.5,3.44,3.06,False,True,False,False,True
"Porter, George M",CSE 124,FA22,132,42,1.0,1.0,9.9,3.37,2.94,False,True,False,False,True
"Savage, Stefan",CSE 127,FA22,185,48,0.9790000000000001,1.0,7.65,3.32,3.08,False,True,False,False,True
"Knoth, Tristan Joseph",CSE 130,FA22,126,31,0.9670000000000001,1.0,7.17,3.67,3.71,False,True,True,False,True
"Deutsch, Alin Bernard",CSE 132A,FA22,182,51,0.898,0.898,6.26,3.49,3.55,False,True,True,False,True
"Eldon, John",CSE 140,FA22,186,50,0.688,0.833,6.79,3.23,3.32,False,True,True,False,True
"Eldon, John",CSE 140L,FA22,169,46,0.8440000000000001,0.889,7.34,3.82,3.69,False,True,False,False,True
"Porter, Leonard Emerson",CSE 142,FA22,122,82,0.927,0.915,7.5,3.34,3.18,False,True,False,False,True
"Porter, Leonard Emerson",CSE 142,FA22,98,69,0.899,0.9420000000000001,7.49,3.42,3.21,False,True,False,False,True
"Swanson, Steven James",CSE 142L,FA22,138,60,0.7759999999999999,0.862,10.17,3.52,3.49,False,True,False,False,True
"Swanson, Steven James",CSE 142L,FA22,81,33,0.879,0.909,9.92,3.32,3.52,False,True,False,False,True
"Cottrell, Garrison W",CSE 151B,FA22,182,50,0.9590000000000001,0.7959999999999999,15.15,3.6,3.65,False,True,False,False,True
"Chandraker, Manmohan Krishna",CSE 152A,FA22,137,57,0.877,0.8420000000000001,10.08,3.3,3.49,False,True,False,False,True
"McAuley, Julian John",CSE 158,FA22,190,56,0.963,0.981,7.22,3.5,3.76,False,True,False,False,True
"McAuley, Julian John",CSE 158R,FA22,331,93,0.9670000000000001,0.9890000000000001,6.95,3.74,3.88,False,True,False,False,True
"Politz, Joseph Gibbs",CSE 15L,FA22,190,60,0.966,0.983,5.43,3.83,3.55,False,True,False,False,False
"Politz, Joseph Gibbs",CSE 15L,FA22,197,66,0.9840000000000001,1.0,5.42,3.83,3.5,False,True,False,False,False
"Chern, Albert Ren-Haur",CSE 167,FA22,158,124,0.894,0.9109999999999999,8.29,3.51,3.52,False,True,False,False,True
"Vaccaro, Kristen Marie",CSE 170,FA22,78,58,0.81,0.828,4.46,3.8,3.55,False,True,False,False,True
"Vaccaro, Kristen Marie",CSE 190,FA22,33,13,0.917,0.917,3.33,3.92,3.71,False,True,False,False,True
"Elsherif, May Elhussein",CSE 193,FA22,51,23,1.0,1.0,8.93,3.87,3.8,False,True,False,False,True
"Munyaka, Imani N. S.",CSE 194,FA22,50,17,1.0,1.0,4.5,4.0,3.87,False,True,False,False,True
"Bach, Quang Tran",CSE 20,FA22,211,66,0.818,0.938,8.47,3.59,3.01,False,True,True,False,False
"Impagliazzo, Russell",CSE 21,FA22,377,162,0.625,0.401,7.79,3.37,3.21,False,True,False,False,False
"Muller, P Keith",CSE 30,FA22,324,217,0.915,0.948,10.2,3.39,3.31,False,True,False,False,False
"Chin, Bryan W.",CSE 30,FA22,95,65,0.892,0.9059999999999999,11.22,3.27,2.74,False,True,False,False,False
"Soosai Raj, Adalbert Geral",CSE 8A,FA22,176,107,0.953,1.0,7.35,3.5,3.34,False,True,False,False,False
"Soosai Raj, Adalbert Geral",CSE 8A,FA22,182,95,0.9359999999999999,0.978,6.48,3.59,3.35,False,True,False,False,False
"Lerner, Sorin",CSE 8A,FA22,180,113,0.9640000000000001,0.991,6.55,3.6,3.5,False,True,False,False,False
"Ochoa, Benjamin Lawrence",CSE 8B,FA22,120,25,0.68,0.8,7.94,3.12,2.29,False,True,False,False,False
"Sahoo, Debashis",CSE 100,SP22,238,82,0.9109999999999999,0.759,10.2,3.51,2.99,False,True,False,False,True
"Cao, Yingjun",CSE 100,SP22,194,83,0.9490000000000001,0.885,10.63,3.42,3.11,False,True,False,False,True
"Dasgupta, Sanjoy",CSE 101,SP22,190,92,0.9009999999999999,0.9670000000000001,9.23,3.28,3.27,False,True,False,False,True
"Impagliazzo, Russell",CSE 101,SP22,189,86,0.855,0.735,8.5,3.35,3.2,False,True,False,False,True
"Minnes Kemp, Mor Mia",CSE 105,SP22,376,162,0.8959999999999999,0.968,8.51,3.44,3.19,False,True,True,False,True
"Thome, Emmanuel",CSE 107,SP22,119,50,0.511,0.511,10.92,2.87,2.78,False,True,True,False,True
"Miranda, Gregory Joseph",CSE 11,SP22,156,48,0.8140000000000001,0.667,8.83,3.67,2.96,False,True,False,False,False
"Miranda, Gregory Joseph",CSE 11,SP22,166,62,0.695,0.684,10.47,3.71,3.05,False,True,False,False,False
"Politz, Joseph Gibbs",CSE 110,SP22,194,159,0.66,0.9620000000000001,11.42,3.46,3.36,False,True,False,False,True
"Griswold, William G.",CSE 110,SP22,194,144,0.685,0.627,12.37,3.38,3.31,False,True,False,False,True
"Powell, Thomas Allan",CSE 112,SP22,137,39,0.9209999999999999,1.0,7.64,3.68,3.77,False,True,False,False,True
"Cao, Yingjun",CSE 12,SP22,179,122,0.975,0.975,9.69,3.68,3.2,False,True,False,False,False
"Cao, Yingjun",CSE 12,SP22,182,116,0.982,0.982,8.88,3.69,3.28,False,True,False,False,False
"Miranda, Gregory Joseph",CSE 12,SP22,185,72,0.826,0.662,10.01,3.39,3.06,False,True,False,False,False
"Zhou, Yuan-Yuan",CSE 120,SP22,193,148,0.912,0.884,11.31,3.24,2.72,False,True,False,False,True
"Shalev, Aaron D",CSE 123,SP22,84,32,0.7809999999999999,0.938,12.69,2.82,2.55,False,True,False,False,True
"Voelker, Geoffrey M.",CSE 125,SP22,33,19,1.0,1.0,12.39,4.0,4.0,False,True,False,False,True
"Obaido, George Rabeshi",CSE 127,SP22,188,145,0.917,0.674,8.07,3.64,3.79,False,True,False,False,True
"Polikarpova, Nadezhda",CSE 130,SP22,174,79,0.89,0.986,8.16,3.5,3.18,False,True,True,False,True
"Jhala, Ranjit",CSE 131,SP22,52,24,0.917,0.875,6.58,3.78,3.63,False,True,False,False,True
"Deutsch, Alin Bernard",CSE 132B,SP22,61,16,0.9329999999999999,0.857,9.57,3.64,3.71,False,True,False,False,True
"Kumar, Arun Kumar",CSE 132C,SP22,37,17,0.875,0.9329999999999999,5.5,3.8,3.38,False,True,False,False,True
"Powell, Thomas Allan",CSE 135,SP22,161,50,0.74,0.78,12.17,3.37,3.25,False,True,False,False,True
"Cheng, Chung Kuan",CSE 140,SP22,202,85,0.812,0.893,8.4,3.56,3.49,False,True,True,False,True
"Chin, Bryan W.",CSE 140L,SP22,115,75,0.867,0.96,8.01,3.74,3.57,False,True,False,False,True
"Chin, Bryan W.",CSE 140L,SP22,57,39,0.667,0.9740000000000001,9.12,3.85,3.83,False,True,False,False,True
"Pannuto, Patrick William",CSE 141,SP22,192,176,0.892,0.903,8.5,3.15,3.27,False,True,False,False,True
"Eldon, John",CSE 141L,SP22,219,98,0.828,0.925,7.85,3.48,2.91,False,True,False,False,True
"Gupta, Rajesh K.",CSE 143,SP22,25,6,0.6,0.8,10.9,2.8,3.68,False,True,False,False,True
"Gao, Sicun",CSE 150B,SP22,340,138,0.963,0.993,7.16,3.73,3.73,False,True,False,False,True
"Shang, Jingbo",CSE 151A,SP22,188,118,0.9570000000000001,0.94,6.87,3.67,3.71,False,True,False,False,True
"Yu, Qi",CSE 151B,SP22,108,98,0.7140000000000001,0.67,9.18,3.33,3.45,False,True,False,False,True
"Chandraker, Manmohan Krishna",CSE 152B,SP22,40,26,0.9620000000000001,1.0,9.86,3.52,3.69,False,True,False,False,True
"Nakashole, Ndapandula",CSE 156,SP22,161,49,0.894,0.7390000000000001,8.76,3.76,3.61,False,True,False,False,True
"Soosai Raj, Adalbert Geral",CSE 15L,SP22,380,280,0.9890000000000001,0.982,4.49,3.87,3.62,False,True,False,False,False
"Gungor, Onat",CSE 15L,SP22,98,73,0.9440000000000001,0.875,3.96,3.9,3.65,False,True,False,False,False
"Gungor, Onat",CSE 15L,SP22,44,26,0.846,0.8,4.27,3.96,3.75,False,True,False,False,False
"Ochoa, Benjamin Lawrence",CSE 166,SP22,37,14,1.0,0.846,9.93,3.29,2.78,False,True,False,False,True
"Li, Tzumao",CSE 168,SP22,38,23,0.955,0.955,13.55,3.55,3.51,False,True,False,False,True
"Kumar, Rakesh",CSE 175,SP22,46,24,0.7829999999999999,0.87,5.46,3.64,3.3,False,True,False,False,True
"Riek, Laurel D",CSE 176A,SP22,24,7,0.857,1.0,5.93,3.83,3.73,False,True,False,False,True
"Gymrek, Melissa Ann",CSE 185,SP22,88,48,0.915,0.915,10.54,3.8,3.45,False,True,False,False,True
"Jones, Miles E",CSE 20,SP22,339,140,0.841,0.818,7.37,3.52,3.09,False,True,True,False,False
"Jones, Miles E",CSE 21,SP22,286,102,0.8270000000000001,0.9179999999999999,7.28,3.29,3.06,False,True,False,False,False
"Muller, P Keith",CSE 30,SP22,425,148,0.828,0.848,10.08,3.46,3.08,False,True,False,False,False
"Moshiri, Alexander Niema",CSE 6R,SP22,137,43,0.8290000000000001,0.927,6.3,3.32,2.81,False,True,False,False,False
"Soosai Raj, Adalbert Geral",CSE 8A,SP22,115,68,0.91,0.985,8.14,3.55,2.97,False,True,False,False,False
"Soosai Raj, Adalbert Geral",CSE 8A,SP22,127,74,0.778,0.917,9.03,3.4,3.04,False,True,False,False,False
"Elsherif, May Elhussein",CSE 8A,SP22,115,65,0.938,0.9059999999999999,7.53,3.64,3.36,False,True,False,False,False
"Elsherif, May Elhussein",CSE 8A,SP22,117,71,0.8859999999999999,0.8,8.04,3.72,3.33,False,True,False,False,False
"Ochoa, Benjamin Lawrence",CSE 8B,SP22,124,68,0.682,0.561,10.11,2.97,2.09,False,True,False,False,False
"Moshiri, Alexander Niema",CSE 100,WI22,470,383,0.982,0.981,8.46,3.55,3.15,False,True,False,False,True
"Kane, Daniel Mertz",CSE 101,WI22,160,58,0.8909999999999999,0.927,12.09,3.26,3.11,False,True,False,False,True
"Saha, Barna",CSE 101,WI22,130,40,0.825,0.825,8.55,3.1,3.46,False,True,False,False,True
