Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,isPreGPT,isSTEM,isAbstract,isWritten,isUD
"Hall, Drew A.",ECE 100,SP23,86,64,0.905,0.937,10.02,2.9,2.79,False,True,False,False,True
"Bharadia, Dinesh",ECE 101,SP23,105,71,0.871,0.9,7.98,3.0,3.22,False,True,False,False,True
"Kuzum, Duygu",ECE 103,SP23,67,45,0.8440000000000001,0.978,8.19,3.07,3.22,False,True,False,False,True
"Fullerton, Eric E",ECE 107,SP23,37,17,0.8240000000000001,1.0,10.15,2.94,2.75,False,True,False,False,True
"Orlitsky, Alon",ECE 109,SP23,196,67,0.6,0.5539999999999999,7.12,2.72,3.01,False,True,False,False,True
"Sievenpiper, Daniel F.",ECE 123,SP23,45,14,0.9229999999999999,0.9229999999999999,6.64,3.36,2.76,False,True,False,False,True
"Esmaili, Gholamreza",ECE 125B,SP23,23,9,0.625,0.875,12.0,3.0,3.45,False,True,False,False,True
"Gessner, Richard K.",ECE 140B,SP23,44,14,0.846,0.9229999999999999,12.64,3.36,2.78,False,True,False,False,True
"Khoshabeh, Ramsin",ECE 140B,SP23,44,14,0.846,1.0,12.64,3.36,2.78,False,True,False,False,True
"Silberman, Jack",ECE 148,SP23,25,5,0.8,1.0,13.3,3.8,3.95,False,True,False,False,True
"Gilja, Vikash",ECE 15,SP23,89,36,0.848,0.9390000000000001,8.21,2.58,2.26,False,True,False,False,False
"Sworder, David D.",ECE 153,SP23,54,13,0.636,0.364,8.32,2.91,3.23,False,True,False,False,True
"Wang, Edward Jay",ECE 16,SP23,35,27,0.852,0.889,9.09,3.37,3.43,False,True,False,False,False
"Harris, Frederick Joel",ECE 161C,SP23,38,13,0.909,0.818,7.05,3.25,3.63,False,True,False,False,True
"Hsueh, Tzu-Chien",ECE 163,SP23,74,64,0.9520000000000001,1.0,7.87,3.4,3.41,False,True,False,False,True
"Mercier, Patrick Philip",ECE 165,SP23,94,47,0.977,0.977,9.88,3.41,3.23,False,True,False,False,True
"Zheng, Yang",ECE 171A,SP23,74,53,0.981,1.0,10.84,3.31,3.35,False,True,False,False,True
"Xie, Pengtao",ECE 175B,SP23,22,19,0.789,0.895,7.76,3.63,3.09,False,True,False,False,True
"Zhang, Xinyu",ECE 191,SP23,20,7,0.833,0.833,12.17,3.67,3.25,False,True,False,False,True
"Dey, Sujit",ECE 25,SP23,54,22,0.9,0.7,7.83,3.43,2.86,False,True,False,False,False
"Mir Arabbaygi, Siavash",ECE 30,SP23,133,46,0.595,0.762,8.91,2.95,2.64,False,True,False,False,False
"Taur, Yuan",ECE 35,SP23,108,38,0.865,0.649,8.23,3.13,2.43,False,True,False,False,False
"Zeger, Kenneth A.",ECE 45,SP23,137,48,0.7829999999999999,0.8909999999999999,8.41,3.13,2.76,False,True,False,False,False
"Baghdadchi, Saharnaz",ECE 101,WI23,156,120,0.807,0.941,8.09,3.24,2.75,False,True,False,False,True
"Le, Hanh-Phuc",ECE 102,WI23,70,54,0.943,0.9620000000000001,8.31,3.08,3.04,False,True,False,False,True
"Lo, Yu-Hwa",ECE 103,WI23,50,24,0.833,0.75,4.75,3.08,2.89,False,True,False,False,True
"Lomakin, Vitaliy",ECE 107,WI23,79,31,0.71,0.7,8.82,2.87,3.06,False,True,False,False,True
"Zeger, Kenneth A.",ECE 109,WI23,123,51,0.76,0.9179999999999999,7.07,3.13,2.75,False,True,False,False,True
"Eldon, John",ECE 111,WI23,174,147,0.912,0.9520000000000001,5.73,3.69,3.69,False,True,False,False,True
"Esmaili, Gholamreza",ECE 121B,WI23,43,24,0.81,0.889,8.79,3.14,3.23,False,True,False,False,True
"Le, Hanh-Phuc",ECE 125A,WI23,59,49,0.958,0.958,8.75,2.98,2.85,False,True,False,False,True
"Esmaili, Gholamreza",ECE 128B,WI23,66,20,0.778,0.722,7.61,3.22,3.16,False,True,False,False,True
"Gessner, Richard K.",ECE 140A,WI23,95,40,0.821,0.9209999999999999,12.76,3.41,3.09,False,True,False,False,True
"Khoshabeh, Ramsin",ECE 140A,WI23,95,40,0.821,0.9490000000000001,12.76,3.41,3.09,False,True,False,False,True
"Gessner, Richard K.",ECE 141A,WI23,38,18,0.8,0.9329999999999999,14.74,3.33,2.54,False,True,False,False,True
"Unpingco, Jose H.",ECE 143,WI23,96,57,0.981,0.981,7.5,3.8,3.82,False,True,False,False,True
"Phan, Alex Minh Giang",ECE 144,WI23,53,43,0.976,0.976,9.45,3.49,3.61,False,True,False,False,True
"Silberman, Jack",ECE 148,WI23,26,15,0.846,0.615,11.5,3.79,3.84,False,True,False,False,True
"Wang, Edward Jay",ECE 15,WI23,151,114,0.7609999999999999,0.912,8.87,2.99,2.7,False,True,False,False,False
"Kumar, Rakesh",ECE 150,WI23,37,29,0.966,0.862,5.95,3.69,3.33,False,True,False,False,True
"Nguyen, Truong Quang",ECE 161B,WI23,29,13,0.9229999999999999,1.0,8.19,3.15,3.3,False,True,False,False,True
"Trivedi, Mohan M.",ECE 172A,WI23,86,24,0.905,0.8640000000000001,7.5,3.4,3.38,False,True,False,False,True
"Vasconcelos, Nuno",ECE 175A,WI23,69,30,0.9329999999999999,0.9,9.12,3.24,3.01,False,True,False,False,True
"Wang, Xiaolong",ECE 176,WI23,112,46,0.8370000000000001,0.81,8.54,3.71,3.69,False,True,False,False,True
"Morris, Karcher William",ECE 25,WI23,120,55,0.9420000000000001,0.981,7.19,3.1,2.8,False,True,False,False,False
"Gilja, Vikash",ECE 35,WI23,150,83,0.863,0.9,9.05,3.16,2.53,False,True,False,False,False
"Sworder, David D.",ECE 45,WI23,208,115,0.43,0.08,8.41,2.81,3.11,False,True,False,False,False
"Morris, Karcher William",ECE 5,WI23,95,33,0.9329999999999999,0.9670000000000001,5.85,3.58,3.24,False,True,False,False,False
"Baghdadchi, Saharnaz",ECE 65,WI23,149,111,0.9359999999999999,0.9640000000000001,9.37,3.44,3.07,False,True,False,False,False
"Baghdadchi, Saharnaz",ECE 100,FA22,96,70,0.8859999999999999,0.9570000000000001,8.96,3.2,2.64,False,True,False,False,True
"Siegel, Paul H.",ECE 101,FA22,146,98,0.867,0.9590000000000001,9.26,2.99,2.81,False,True,False,False,True
"Hsueh, Tzu-Chien",ECE 102,FA22,85,68,0.985,0.971,8.0,3.17,3.19,False,True,False,False,True
"Lomakin, Vitaliy",ECE 107,FA22,45,17,0.875,0.875,6.5,3.25,3.12,False,True,False,False,True
"Zeger, Kenneth A.",ECE 109,FA22,121,47,0.778,0.7170000000000001,7.8,2.89,2.76,False,True,False,False,True
"Koushanfar, Farinaz",ECE 111,FA22,88,47,0.83,0.63,7.98,3.56,3.26,False,True,False,False,True
"Esmaili, Gholamreza",ECE 121A,FA22,60,24,0.87,0.7829999999999999,8.5,2.91,3.05,False,True,False,False,True
"Esmaili, Gholamreza",ECE 128A,FA22,67,21,0.75,0.8420000000000001,8.0,3.25,3.22,False,True,False,False,True
"Unpingco, Jose H.",ECE 143,FA22,100,64,1.0,0.9840000000000001,6.79,3.89,3.85,False,True,False,False,True
"Silberman, Jack",ECE 148,FA22,24,7,0.857,0.7140000000000001,15.07,3.57,3.96,False,True,False,False,True
"Schurgers, Curt",ECE 15,FA22,247,186,0.6409999999999999,0.823,9.57,2.91,2.72,False,True,False,False,False
"Javidi, Tara",ECE 158A,FA22,40,19,0.8420000000000001,0.722,6.39,3.17,3.22,False,True,False,False,True
"Khoshabeh, Ramsin",ECE 16,FA22,27,20,0.895,0.9470000000000001,12.92,3.35,3.44,False,True,False,False,False
"Rao, Bhaskar D.",ECE 161A,FA22,62,23,0.8,0.85,9.5,3.2,2.96,False,True,False,False,True
"Hall, Drew A.",ECE 164,FA22,94,33,0.9390000000000001,0.9059999999999999,15.25,3.33,2.76,False,True,False,False,True
"Rebeiz, Gabriel",ECE 166,FA22,90,28,0.963,0.9259999999999999,10.65,3.37,2.6,False,True,False,False,True
"Gilja, Vikash",ECE 17,FA22,49,22,0.95,1.0,8.6,3.85,3.42,False,True,False,False,False
"Atanasov, Nikolay A.",ECE 171A,FA22,53,19,1.0,1.0,10.39,3.26,3.45,False,True,False,False,True
"Shi, Yuanyuan",ECE 171B,FA22,30,21,0.95,1.0,10.2,3.4,3.3,False,True,False,False,True
