Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,isPreGPT,isSTEM,isAbstract,isWritten,isUD
"Alexandrov, Ludmil B",BENG 100,SP23,132,70,0.615,0.862,6.56,3.03,3.03,False,True,False,False,True
"Fraley, Stephanie I.",BENG 103B,SP23,128,86,0.75,0.94,8.6,3.22,3.09,False,True,False,False,True
"Shi, Lingyan",BENG 112B,SP23,56,39,0.8420000000000001,0.711,5.24,3.5,3.21,False,True,False,False,True
"Hasty, Jeff M",BENG 125,SP23,136,37,0.889,0.8059999999999999,4.27,3.57,3.46,False,True,False,False,True
"Cabrales, Pedro",BENG 140B,SP23,72,47,0.804,0.826,6.88,3.32,3.25,False,True,False,False,True
"Cabrales, Pedro",BENG 172,SP23,53,27,0.75,1.0,8.02,3.8,3.62,False,True,False,False,True
"Omens, Jeffrey Howard",BENG 172,SP23,53,27,0.75,0.941,8.02,3.8,3.62,False,True,False,False,True
"Bafna, Vineet",BENG 182,SP23,20,8,0.7140000000000001,0.857,4.79,3.71,3.22,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 101C,SP23,46,39,0.9740000000000001,1.0,8.19,3.1,3.1,False,True,False,False,True
"Powell, Alyssa",CENG 101C,SP23,51,41,0.8290000000000001,0.951,8.5,3.2,3.15,False,True,False,False,True
"Drews, Aaron",CENG 113,SP23,120,106,0.868,0.953,9.59,3.18,2.85,False,True,False,False,True
"Powell, Alyssa",CENG 124B,SP23,91,49,0.9390000000000001,0.98,5.48,3.69,3.88,False,True,False,False,True
"Russ, Benjamin Edward",CENG 124B,SP23,91,49,0.9390000000000001,0.98,5.48,3.69,3.88,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 157,SP23,52,27,0.9620000000000001,1.0,5.12,3.15,3.35,False,True,False,False,True
"Drews, Aaron",CENG 170,SP23,29,18,0.941,0.882,6.38,3.59,3.23,False,True,False,False,True
"Steinmetz, Nicole F",CENG 175,SP23,32,15,1.0,1.0,3.93,3.5,3.52,False,True,False,False,True
"Zhang, Liangfang",CENG 176B,SP23,48,18,1.0,1.0,6.72,3.83,3.69,False,True,False,False,True
"Shah, Nisarg",CENG 176B,SP23,44,15,0.9229999999999999,1.0,7.12,3.77,3.73,False,True,False,False,True
"Ngo, Anh-Thu T.",ENG 100D,SP23,54,40,0.95,0.975,4.6,3.87,3.65,False,True,False,False,True
"Hein, Lin Thu",ENG 100DR,SP23,48,27,0.889,0.9620000000000001,5.96,3.85,3.85,False,True,False,False,True
"Hein, Lin Thu",ENG 100DR,SP23,39,19,0.8420000000000001,0.895,5.24,3.68,3.62,False,True,False,False,True
"Valdez-Jasso, Daniela",BENG 112A,WI23,65,21,0.81,1.0,6.69,3.24,2.86,False,True,False,False,True
"Taylor Amos, Alyssa C",BENG 119B,WI23,22,5,1.0,1.0,6.1,4.0,3.87,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 119B,WI23,22,5,1.0,1.0,6.1,4.0,3.87,False,True,False,False,True
"Huang, Xiaohua",BENG 120,WI23,56,25,0.68,0.64,4.82,3.44,3.66,False,True,False,False,True
"Palsson, Bernhard O.",BENG 123,WI23,78,31,0.655,0.7240000000000001,9.88,3.14,2.97,False,True,False,False,True
"Silva, Gabriel",BENG 130,WI23,164,68,0.426,0.284,5.35,3.1,2.63,False,True,False,False,True
"Silva, Gabriel",BENG 140A,WI23,78,35,0.853,0.8240000000000001,4.91,3.61,3.55,False,True,False,False,True
"Taylor Amos, Alyssa C",BENG 152,WI23,21,10,0.889,0.667,8.3,3.9,3.77,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 152,WI23,21,10,0.889,1.0,8.3,3.9,3.77,False,True,False,False,True
"Huang, Xiaohua",BENG 161B,WI23,62,10,0.6,0.556,7.3,3.56,3.5,False,True,False,False,True
"Shi, Lingyan",BENG 168,WI23,103,33,0.6559999999999999,0.5,5.31,3.34,3.55,False,True,False,False,True
"Taylor Amos, Alyssa C",BENG 179B,WI23,27,6,0.833,0.833,10.83,3.83,3.59,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 179B,WI23,27,6,0.833,0.833,10.83,3.83,3.59,False,True,False,False,True
"Pevzner, Pavel Arkadjevich",BENG 181,WI23,21,15,0.6920000000000001,0.769,17.5,3.17,3.53,False,True,False,False,True
"Cauwenberghs, Gert",BENG 186B,WI23,74,23,0.7829999999999999,0.7829999999999999,9.2,3.35,3.45,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 101A,WI23,31,27,0.846,1.0,11.22,2.84,3.13,False,True,False,False,True
"Liu, Ping",CENG 101B,WI23,77,41,0.846,0.795,8.5,2.9,3.13,False,True,False,False,True
"Powell, Alyssa",CENG 102,WI23,119,69,0.941,0.971,8.56,3.13,3.05,False,True,False,False,True
"Lubarda, Vlado",CENG 114,WI23,93,76,0.893,0.92,4.5,3.66,3.47,False,True,False,False,True
"Powell, Alyssa",CENG 124A,WI23,49,30,0.9670000000000001,1.0,6.5,3.47,3.63,False,True,False,False,True
"Russ, Benjamin Edward",CENG 124A,WI23,42,30,0.867,0.9329999999999999,6.1,3.33,3.73,False,True,False,False,True
"Pokorski, Jonathan Kyle",CENG 134,WI23,45,21,1.0,0.9520000000000001,5.45,3.0,2.97,False,True,False,False,True
"Drews, Aaron",CENG 15,WI23,25,12,0.833,0.833,5.33,3.75,2.88,False,True,False,False,False
"Zhang, Liangfang",CENG 176A,WI23,48,27,1.0,1.0,9.04,3.54,3.35,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 176A,WI23,44,22,1.0,1.0,8.32,3.73,3.43,False,True,False,False,True
"Evdokimenko, Ekaterina",ENG 10,WI23,21,20,0.95,1.0,3.3,3.8,3.83,False,True,False,False,False
"Ngo, Anh-Thu T.",ENG 100D,WI23,44,30,0.9670000000000001,1.0,5.1,3.83,3.71,False,True,False,False,True
"Hein, Lin Thu",ENG 100DR,WI23,31,22,0.909,0.818,6.41,3.57,3.81,False,True,False,False,True
"Mc Culloch, Andrew Douglas",BENG 110,FA22,97,91,0.813,0.846,6.48,3.19,3.16,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 119A,FA22,22,5,1.0,1.0,4.5,4.0,3.78,False,True,False,False,True
"Cauwenberghs, Gert",BENG 122A,FA22,60,21,0.8,0.8,8.6,3.5,3.53,False,True,False,False,True
"Smarr, Benjamin",BENG 134,FA22,26,18,0.9440000000000001,0.889,6.5,3.35,2.87,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 135,FA22,25,5,1.0,1.0,7.7,3.8,3.63,False,True,False,False,True
"Lal, Ratnesh",BENG 141,FA22,49,36,0.941,0.8240000000000001,4.56,3.83,3.85,False,True,False,False,True
"Fraley, Stephanie I.",BENG 161A,FA22,61,48,0.75,0.75,9.48,3.23,3.04,False,True,False,False,True
"Mali, Prashant Gulab Ram",BENG 162,FA22,61,51,0.863,0.941,7.66,3.52,3.51,False,True,False,False,True
"Sah, Robert Lie-Yuan",BENG 166A,FA22,63,41,0.61,0.7559999999999999,6.65,3.87,3.57,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 179A,FA22,28,10,1.0,1.0,10.0,4.0,3.67,False,True,False,False,True
"Zhong, Sheng",BENG 183,FA22,92,28,0.815,0.846,6.28,3.82,4.0,False,True,False,False,True
"Chen, Zheng",CENG 100,FA22,119,50,0.9590000000000001,0.958,6.98,3.3,2.88,False,True,False,False,True
"Bae, Jinhye",CENG 101A,FA22,133,99,0.633,0.7759999999999999,10.88,3.08,3.19,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 120,FA22,94,76,0.934,0.9079999999999999,10.21,3.22,3.12,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 122,FA22,92,74,0.89,0.875,10.31,3.07,3.17,False,True,False,False,True
"Lubarda, Vlado",CENG 15R,FA22,37,27,0.769,0.9229999999999999,4.35,3.42,3.3,False,True,False,False,False
"Lubarda, Vlado",CENG 15R,FA22,63,44,0.8859999999999999,0.932,4.55,3.43,3.11,False,True,False,False,False
"Drews, Aaron",CENG 170,FA22,41,25,0.9570000000000001,0.9129999999999999,7.37,3.22,3.01,False,True,False,False,True
"Phan, Alex Minh Giang",ENG 10,FA22,25,17,0.706,0.882,5.68,3.4,3.8,False,True,False,False,False
"Ngo, Anh-Thu T.",ENG 100D,FA22,46,18,0.833,0.889,4.83,3.89,3.88,False,True,False,False,True
"Ngo, Anh-Thu T.",ENG 100D,FA22,46,15,0.8,0.9329999999999999,4.1,3.87,3.86,False,True,False,False,True
"Evdokimenko, Ekaterina",ENG 20,FA22,39,33,0.97,1.0,4.08,3.85,3.94,False,True,False,False,False
"Alexandrov, Ludmil B",BENG 100,SP22,154,77,0.474,0.684,6.55,3.51,3.65,False,True,False,False,True
"Huang, Xiaohua",BENG 102,SP22,45,23,0.619,0.5710000000000001,5.64,3.95,3.65,False,True,False,False,True
"Fraley, Stephanie I.",BENG 103B,SP22,99,69,0.7829999999999999,0.838,9.43,3.34,3.13,False,True,False,False,True
"Shi, Lingyan",BENG 112B,SP22,45,32,0.875,0.938,5.94,3.61,3.74,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 125,SP22,147,61,0.614,0.772,6.89,3.27,3.52,False,True,False,False,True
"Mali, Prashant Gulab Ram",BENG 133,SP22,38,36,0.943,1.0,8.61,3.21,3.57,False,True,False,False,True
"Cabrales, Pedro",BENG 140B,SP22,76,54,0.9059999999999999,0.9620000000000001,5.71,3.46,2.9,False,True,False,False,True
"Zhang, Kun",BENG 160,SP22,64,39,0.821,0.9229999999999999,6.61,3.5,3.59,False,True,False,False,True
"Cabrales, Pedro",BENG 172,SP22,43,21,0.8,1.0,8.5,3.75,3.45,False,True,False,False,True
"Omens, Jeffrey Howard",BENG 172,SP22,43,21,0.8,1.0,8.5,3.75,3.45,False,True,False,False,True
"Bafna, Vineet",BENG 182,SP22,22,13,0.917,1.0,9.17,3.67,3.71,False,True,False,False,True
"Kwon, Ester Jihae",BENG 186A,SP22,105,100,0.88,0.91,6.42,3.12,3.01,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 187A,SP22,140,78,0.882,0.987,2.34,3.99,3.0,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 187D,SP22,42,22,0.909,0.909,7.68,3.82,3.95,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 187D,SP22,41,18,0.882,0.882,5.21,3.76,3.9,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 187D,SP22,60,27,1.0,1.0,5.14,3.92,3.91,False,True,False,False,True
"Lubarda, Vlado",CENG 101B,SP22,21,10,1.0,1.0,9.5,3.6,3.32,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 101C,SP22,94,82,0.9,1.0,9.9,3.0,3.01,False,True,False,False,True
"Drews, Aaron",CENG 113,SP22,46,22,0.905,0.905,9.55,3.0,2.85,False,True,False,False,True
"Drews, Aaron",CENG 113,SP22,70,33,0.909,0.9390000000000001,11.23,3.42,3.08,False,True,False,False,True
"Russ, Benjamin Edward",CENG 124B,SP22,75,62,0.968,0.9840000000000001,7.03,3.54,3.89,False,True,False,False,True
"Zhang, Liangfang",CENG 124B,SP22,62,51,1.0,1.0,6.26,3.7,3.94,False,True,False,False,True
"Steinmetz, Nicole F",CENG 175,SP22,24,15,0.9329999999999999,1.0,5.57,3.2,3.33,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 176B,SP22,76,50,0.956,0.956,8.36,3.47,3.43,False,True,False,False,True
"Chen, Zheng",CENG 176B,SP22,58,39,0.972,1.0,8.9,3.58,3.51,False,True,False,False,True
"Evdokimenko, Ekaterina",ENG 10,SP22,25,20,1.0,1.0,4.0,3.53,3.22,False,True,False,False,False
"Mancinelli, Ryan Mark",ENG 100D,SP22,44,18,0.556,0.611,5.17,3.75,3.71,False,True,False,False,True
"Ngo, Anh-Thu T.",ENG 100D,SP22,52,41,0.8540000000000001,0.95,4.5,3.76,3.57,False,True,False,False,True
"Valdez-Jasso, Daniela",BENG 112A,WI22,48,44,1.0,1.0,6.86,3.36,3.06,False,True,False,False,True
"Huang, Xiaohua",BENG 120,WI22,59,29,0.7859999999999999,0.679,5.24,3.74,3.44,False,True,False,False,True
"Haiman, Zachary Brandon",BENG 123,WI22,74,16,0.75,0.875,10.25,3.19,2.94,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 126B,WI22,33,8,1.0,1.0,7.93,3.86,3.88,False,True,False,False,True
"Subramaniam, Shankar",BENG 130,WI22,130,49,0.7709999999999999,0.833,6.03,3.34,3.13,False,True,False,False,True
"Silva, Gabriel",BENG 140A,WI22,96,39,0.795,0.718,5.17,3.47,3.49,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 152,WI22,21,10,1.0,1.0,9.7,3.6,3.87,False,True,False,False,True
"Huang, Xiaohua",BENG 161B,WI22,61,21,0.81,0.857,7.83,3.48,3.22,False,True,False,False,True
"Wang, Yingxiao",BENG 168,WI22,98,25,0.8,0.76,8.1,3.16,3.59,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 169B,WI22,21,5,1.0,1.0,5.3,4.0,3.88,False,True,False,False,True
"Wheeler, Bruce Christopher",BENG 179B,WI22,36,7,1.0,0.833,5.5,4.0,3.85,False,True,False,False,True
"Cauwenberghs, Gert",BENG 186B,WI22,61,31,0.903,0.935,8.63,3.42,3.62,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 101A,WI22,26,22,0.955,0.955,11.59,3.0,2.98,False,True,False,False,True
"Liu, Ping",CENG 101B,WI22,84,75,0.907,0.973,8.5,3.01,3.06,False,True,False,False,True
"Powell, Alyssa",CENG 102,WI22,68,52,0.9620000000000001,1.0,7.69,3.48,2.95,False,True,False,False,True
"Shah, Nisarg",CENG 102,WI22,41,33,0.97,0.879,7.65,3.47,2.94,False,True,False,False,True
"Jahed Motlagh, Zeinab",CENG 114,WI22,93,83,0.855,0.94,6.79,3.09,3.13,False,True,False,False,True
"Powell, Alyssa",CENG 124A,WI22,74,58,0.948,0.983,7.2,3.55,3.79,False,True,False,False,True
"Zhang, Liangfang",CENG 124A,WI22,63,53,0.925,0.981,5.75,3.57,3.87,False,True,False,False,True
"Pokorski, Jonathan Kyle",CENG 134,WI22,78,52,0.9229999999999999,0.922,5.85,3.04,3.02,False,True,False,False,True
"Chen, Zheng",CENG 176A,WI22,58,39,0.973,0.892,9.55,3.34,3.5,False,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 176A,WI22,76,53,0.9059999999999999,0.925,9.19,3.6,3.51,False,True,False,False,True
"Evdokimenko, Ekaterina",ENG 10,WI22,23,21,0.9520000000000001,1.0,3.45,3.76,3.74,False,True,False,False,False
"Evdokimenko, Ekaterina",ENG 10,WI22,21,20,0.85,1.0,3.9,3.79,3.83,False,True,False,False,False
"Ngo, Anh-Thu T.",ENG 100D,WI22,51,41,0.875,0.925,5.47,3.82,3.7,False,True,False,False,True
"Ngo, Anh-Thu T.",ENG 100D,WI22,20,16,1.0,1.0,5.43,3.93,3.74,False,True,False,False,True
"Mc Culloch, Andrew Douglas",BENG 110,FA21,87,83,0.807,0.747,7.13,3.34,3.12,True,True,False,False,True
"Cauwenberghs, Gert",BENG 122A,FA21,57,31,0.9329999999999999,1.0,8.17,3.57,3.7,True,True,False,False,True
"Wheeler, Bruce Christopher",BENG 126A,FA21,32,7,0.833,1.0,4.5,4.0,3.83,True,True,False,False,True
"Smarr, Benjamin",BENG 134,FA21,32,21,0.6,0.75,8.5,3.32,3.17,True,True,False,False,True
"Lal, Ratnesh",BENG 141,FA21,40,32,0.968,0.903,5.06,4.0,3.92,True,True,False,False,True
"Lewis, Nathan E",BENG 161A,FA21,63,37,0.8859999999999999,1.0,6.38,3.76,3.41,True,True,False,False,True
"Mali, Prashant Gulab Ram",BENG 162,FA21,58,49,0.7959999999999999,0.6729999999999999,7.97,3.43,3.36,True,True,False,False,True
"Sah, Robert Lie-Yuan",BENG 166A,FA21,71,43,0.667,0.762,5.33,3.9,3.85,True,True,False,False,True
"Wheeler, Bruce Christopher",BENG 169A,FA21,21,9,1.0,1.0,5.17,4.0,3.94,True,True,False,False,True
"Wheeler, Bruce Christopher",BENG 179A,FA21,36,12,1.0,0.9,6.7,4.0,3.87,True,True,False,False,True
"Benner, Christopher William",BENG 183,FA21,76,27,0.9259999999999999,0.9259999999999999,5.83,3.74,3.75,True,True,False,False,True
"Wheeler, Bruce Christopher",BENG 2,FA21,23,14,1.0,1.0,6.04,3.31,3.4,True,True,False,False,False
"Powell, Alyssa",CENG 100,FA21,112,95,0.968,0.9890000000000001,6.71,3.22,2.94,True,True,False,False,True
"Bae, Jinhye",CENG 101A,FA21,136,115,0.746,0.779,10.22,3.07,3.12,True,True,False,False,True
"Opatkiewicz, Justin Paul",CENG 120,FA21,136,120,0.983,0.992,8.78,3.31,3.31,True,True,False,False,True
"Powell, Alyssa",CENG 122,FA21,139,123,0.9590000000000001,0.9420000000000001,8.84,3.28,3.37,True,True,False,False,True
"Lubarda, Vlado",CENG 15,FA21,54,28,0.385,0.48,4.73,2.85,3.2,True,True,False,False,False
"Lubarda, Vlado",CENG 15,FA21,58,26,0.625,0.625,5.06,3.24,3.26,True,True,False,False,False
"Opatkiewicz, Justin Paul",CENG 157,FA21,54,41,0.951,0.976,6.26,3.26,3.19,True,True,False,False,True
"Evdokimenko, Ekaterina",ENG 10,FA21,30,22,0.9520000000000001,1.0,4.23,3.91,3.9,True,True,False,False,False
"Evdokimenko, Ekaterina",ENG 10,FA21,27,19,0.895,1.0,3.66,3.95,3.79,True,True,False,False,False
"Mancinelli, Ryan Mark",ENG 100D,FA21,48,24,0.818,0.909,9.11,3.7,3.81,True,True,False,False,True
