Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,isPreGPT,isSTEM,isAbstract,isWritten,isUD
"Pollack, Aaron",MATH 100C,SP23,31,12,1.0,1.0,7.9,3.38,3.54,False,True,True,False,True
"Klevdal, Christian Sleek",MATH 102,SP23,103,43,0.775,0.718,5.99,3.29,3.12,False,True,False,False,True
"Nag, Panchali",MATH 102,SP23,107,97,0.9179999999999999,0.9179999999999999,6.11,3.34,3.45,False,True,False,False,True
"Aycock, Jon Merrill",MATH 103B,SP23,98,21,0.684,0.8420000000000001,8.8,3.05,2.43,False,True,True,False,True
"Chung, Kwun",MATH 103B,SP23,103,35,0.706,0.8240000000000001,9.79,3.24,2.8,False,True,True,False,True
"Lu, Yunze",MATH 109,SP23,49,13,0.917,1.0,7.83,3.58,3.0,False,True,True,False,True
"Lu, Yunze",MATH 109,SP23,62,19,0.941,1.0,6.9,3.47,2.99,False,True,True,False,True
"Hodges, Reuven Moses",MATH 109,SP23,65,54,0.815,0.925,7.54,2.98,2.98,False,True,True,False,True
"Chan, Pak Yeung",MATH 109,SP23,56,16,0.6920000000000001,0.5,8.36,3.15,2.99,False,True,True,False,True
"Greenfeld, Be'Eri",MATH 109,SP23,71,26,1.0,0.92,6.66,3.79,2.99,False,True,True,False,True
"Ophir, Amit",MATH 10A,SP23,176,91,0.47100000000000003,0.318,6.8,2.51,2.6,False,True,False,False,False
"Ophir, Amit",MATH 10A,SP23,181,89,0.581,0.5,5.87,2.61,2.78,False,True,False,False,False
"Parise, Davide",MATH 10B,SP23,259,108,0.415,0.377,7.61,2.2,1.75,False,True,False,False,False
"Gambheera Arachchige, Rusiru",MATH 10B,SP23,269,111,0.7290000000000001,0.7170000000000001,5.2,2.9,2.9,False,True,False,False,False
"Lau, Jun Bo",MATH 10B,SP23,288,105,0.772,0.7140000000000001,6.1,3.22,3.04,False,True,False,False,False
"Sarkar, Pratyush",MATH 10C,SP23,72,34,0.563,0.355,5.71,2.66,2.45,False,True,False,False,False
"Ganzberger, Geoffrey Michael",MATH 10C,SP23,124,49,0.66,0.826,6.17,2.9,2.81,False,True,False,False,False
"Ganzberger, Geoffrey Michael",MATH 10C,SP23,159,69,0.785,0.828,7.29,3.03,2.83,False,True,False,False,False
"Agrawal, Shishir",MATH 11,SP23,240,107,0.75,0.748,6.35,3.3,3.14,False,True,False,False,False
"Agrawal, Shishir",MATH 11,SP23,196,80,0.6970000000000001,0.6579999999999999,6.5,3.3,3.16,False,True,False,False,False
"Li, Bo",MATH 114,SP23,39,9,1.0,1.0,5.25,3.57,2.91,False,True,False,False,True
"Xiao, Ming",MATH 120B,SP23,46,16,1.0,1.0,5.43,3.43,3.48,False,True,True,False,True
"Chow, Bennett",MATH 140B,SP23,60,22,0.8420000000000001,0.9440000000000001,7.24,3.47,3.13,False,True,True,False,True
"Zlatos, Andrej",MATH 140C,SP23,24,7,1.0,1.0,9.07,3.5,3.42,False,True,True,False,True
"Belmont, Eva Kinoshita",MATH 142B,SP23,75,35,0.7709999999999999,0.941,8.06,3.09,2.93,False,True,True,False,True
"Sheng, Hongyi",MATH 142B,SP23,26,7,0.5710000000000001,0.857,9.36,2.71,2.33,False,True,True,False,True
"Sarkar, Pratyush",MATH 142B,SP23,32,11,0.4,0.6,9.3,2.78,2.48,False,True,True,False,True
"Jekel, David Andrew",MATH 146,SP23,25,10,0.889,1.0,8.28,3.44,3.42,False,True,True,False,True
"McKinley, Gweneth Anne",MATH 154,SP23,185,146,0.932,0.9790000000000001,6.64,3.4,3.02,False,True,True,False,True
"Aliabadi Sr., Mohsen",MATH 154,SP23,105,35,0.882,0.938,6.25,3.58,3.41,False,True,True,False,True
"Bowers, Adam R.",MATH 163,SP23,35,13,0.9229999999999999,0.917,3.88,3.08,2.48,False,True,False,False,True
"Liu, Shuang",MATH 170A,SP23,103,29,0.7859999999999999,0.63,7.43,3.39,2.47,False,True,False,False,True
"Brust, Johannes Joachim",MATH 170B,SP23,91,22,0.632,0.895,7.03,3.06,2.36,False,True,False,False,True
"Liu, Shuang",MATH 170C,SP23,30,7,0.833,1.0,7.83,3.33,3.19,False,True,False,False,True
