Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,isPreGPT,isSTEM,isAbstract,isWritten,isUD
"Grush, Rick Scott",PHIL 1,SP23,47,14,0.846,0.846,4.93,2.7,1.92,False,False,False,True,False
"Carr, Jennifer Rose",PHIL 10,SP23,235,150,0.73,0.797,4.94,3.14,2.78,False,False,False,True,False
"Johnson, Monte",PHIL 102,SP23,36,10,1.0,0.857,6.0,3.29,3.11,False,False,False,True,True
"Tolley, Clinton",PHIL 112,SP23,26,10,0.9,1.0,9.1,3.7,3.38,False,False,False,True,True
"Carr, Jennifer Rose",PHIL 120,SP23,50,41,0.75,0.9229999999999999,5.85,3.36,3.36,False,False,False,True,True
"Duncan, Emma Ruth",PHIL 13,SP23,123,49,1.0,1.0,3.35,3.77,3.64,False,False,False,True,False
"Sher, Gila",PHIL 132,SP23,36,14,1.0,1.0,3.21,3.5,3.28,False,False,False,True,True
"Fulkerson, Matthew Todd",PHIL 149,SP23,36,9,0.875,1.0,4.5,3.56,3.49,False,False,False,True,True
"Fulkerson, Matthew Todd",PHIL 15,SP23,87,22,0.9470000000000001,0.9470000000000001,4.06,3.38,3.18,False,False,False,True,False
"Bechtel, William",PHIL 151,SP23,35,7,0.7140000000000001,0.857,3.07,3.86,3.47,False,False,False,True,True
"Vargas, Manuel Rogelio",PHIL 156,SP23,35,6,1.0,0.8,4.9,3.4,2.82,False,False,False,True,True
"Brink, David O.",PHIL 161,SP23,37,10,0.9,0.9,2.3,3.11,3.12,False,False,False,True,True
"Brandt, Reuven A",PHIL 162,SP23,40,16,1.0,1.0,3.93,3.57,3.47,False,False,False,True,True
"Harrell, Maralee Mae",PHIL 164,SP23,42,20,1.0,1.0,3.45,4.0,3.83,False,False,False,True,True
"Hardimon, Michael O.",PHIL 170,SP23,59,14,0.643,0.7859999999999999,3.5,3.29,3.55,False,False,False,True,True
"Tolley, Clinton",PHIL 183,SP23,35,10,0.9,1.0,7.7,3.9,3.6,False,False,False,True,True
"Brandt, Reuven A",PHIL 27,SP23,201,78,0.882,0.973,3.82,3.39,3.4,False,False,False,True,False
"Brink, David O.",PHIL 28,SP23,203,49,0.787,0.711,3.18,3.57,3.14,False,False,False,True,False
"Hardimon, Michael O.",PHIL 33,SP23,67,22,0.8420000000000001,0.8420000000000001,3.5,3.5,2.96,False,False,False,True,False
"Marechal, Patricia",PHIL 90,SP23,44,14,1.0,1.0,3.93,3.71,3.8,False,False,False,True,False
"Grush, Rick Scott",PHIL 10,WI23,375,150,0.888,0.951,5.42,3.01,2.57,False,False,False,True,False
"Marechal, Patricia",PHIL 101,WI23,36,9,0.889,1.0,4.06,3.56,3.76,False,False,False,True,True
"Watkins, Eric",PHIL 111,WI23,30,10,0.9,1.0,6.7,3.0,2.91,False,False,False,True,True
"Chen, Keming",PHIL 130,WI23,39,15,0.9329999999999999,1.0,6.23,3.92,3.77,False,False,False,True,True
"Grush, Rick Scott",PHIL 136,WI23,37,4,1.0,1.0,4.5,3.5,3.09,False,False,False,True,True
"Shields, Christopher John",PHIL 14,WI23,146,60,0.945,0.9640000000000001,3.14,3.22,2.96,False,False,False,True,False
"Rickless, Samuel Charles",PHIL 141,WI23,59,16,0.938,1.0,7.25,3.3,3.12,False,False,False,True,True
"Callender, Craig Adam",PHIL 146,WI23,29,7,0.7140000000000001,1.0,4.5,3.2,2.87,False,False,False,True,True
"Kovaka, Karen",PHIL 148,WI23,40,12,1.0,1.0,3.95,3.45,3.53,False,False,False,True,True
"Cartwright, Nancy D.",PHIL 152,WI23,36,13,0.917,0.833,5.17,3.64,3.72,False,False,False,True,True
"Harrell, Maralee Mae",PHIL 16,WI23,48,19,0.9470000000000001,0.9440000000000001,2.82,4.0,3.71,False,False,False,True,False
"Bazargan-Forward, Saba",PHIL 160,WI23,42,17,0.941,1.0,5.56,3.59,3.43,False,False,False,True,True
"Brandt, Reuven A",PHIL 163,WI23,69,30,1.0,1.0,3.79,3.83,3.54,False,False,False,True,True
"Danks, David J",PHIL 174,WI23,66,17,0.9329999999999999,0.9329999999999999,5.17,3.64,3.33,False,False,False,True,True
"Vargas, Manuel Rogelio",PHIL 27,WI23,102,33,0.727,0.879,3.63,3.56,3.02,False,False,False,True,False
"Danks, David J",PHIL 28,WI23,209,73,0.914,0.985,3.3,3.93,3.85,False,False,False,True,False
"Rickless, Samuel Charles",PHIL 32,WI23,41,17,0.625,0.75,4.74,3.1,2.95,False,False,False,True,False
"Tolley, Clinton",PHIL 35,WI23,62,33,0.879,0.818,4.2,3.85,3.68,False,False,False,True,False
"Sher, Gila",PHIL 1,FA22,68,17,0.625,0.688,3.13,3.36,3.19,False,False,False,True,False
"Grush, Rick Scott",PHIL 10,FA22,277,103,0.8759999999999999,0.958,5.68,3.27,2.62,False,False,False,True,False
"Brants, Zachary Keith",PHIL 100,FA22,39,14,0.9229999999999999,1.0,3.67,3.58,3.58,False,False,False,True,True
"Johnson, Monte",PHIL 110,FA22,36,11,0.818,0.909,5.95,3.27,3.16,False,False,False,True,True
"Kovaka, Karen",PHIL 12,FA22,118,54,0.9059999999999999,0.981,4.05,3.5,3.83,False,False,False,True,False
"Rickless, Samuel Charles",PHIL 120,FA22,52,16,1.0,1.0,4.38,3.56,3.24,False,False,False,True,True
"Wonderly, Monique L.",PHIL 13,FA22,113,50,1.0,0.978,3.33,3.66,3.75,False,False,False,True,False
"Watkins, Eric",PHIL 131,FA22,35,12,1.0,1.0,5.5,3.5,2.76,False,False,False,True,True
"Carr, Jennifer Rose",PHIL 132,FA22,32,6,1.0,1.0,8.17,3.5,3.11,False,False,False,True,True
"Brink, David O.",PHIL 138,FA22,38,9,0.667,0.778,4.72,3.5,3.13,False,False,False,True,True
"Fulkerson, Matthew Todd",PHIL 147,FA22,38,10,0.8,1.0,5.3,3.56,3.44,False,False,False,True,True
"Greely, Nathaniel Atholl",PHIL 150,FA22,38,15,0.733,0.8,5.57,3.38,3.38,False,False,False,True,True
"Vargas, Manuel Rogelio",PHIL 155,FA22,34,9,1.0,1.0,4.25,3.14,3.44,False,False,False,True,True
"Rickless, Samuel Charles",PHIL 165,FA22,57,14,0.857,0.846,6.81,3.27,3.44,False,False,False,True,True
"Bazargan-Forward, Saba",PHIL 172,FA22,42,12,1.0,0.909,5.41,3.45,3.24,False,False,False,True,True
"Wonderly, Monique L.",PHIL 173,FA22,39,10,0.9,0.9,3.7,3.56,3.64,False,False,False,True,True
"Harrell, Maralee Mae",PHIL 27,FA22,208,58,0.7859999999999999,0.9109999999999999,3.57,3.83,3.66,False,False,False,True,False
"Bazargan-Forward, Saba",PHIL 28,FA22,220,66,0.8590000000000001,0.9520000000000001,3.25,3.48,3.85,False,False,False,True,False
"Johnson, Monte",PHIL 31,FA22,61,25,0.917,0.875,5.17,3.52,3.38,False,False,False,True,False
"Harrell, Maralee Mae",PHIL 10,SP22,188,70,0.826,0.779,4.53,3.31,2.96,False,False,False,True,False
"Hardimon, Michael O.",PHIL 112,SP22,34,3,1.0,1.0,3.83,3.0,3.0,False,False,False,True,True
"Carr, Jennifer Rose",PHIL 120,SP22,56,19,0.833,0.941,5.94,3.6,2.89,False,False,False,True,True
"Carr, Jennifer Rose",PHIL 125,SP22,36,13,0.917,0.909,4.67,3.38,3.27,False,False,False,True,True
"Arneson, Richard J.",PHIL 13,SP22,118,36,0.639,0.6940000000000001,3.81,3.2,2.33,False,False,False,True,False
"Grush, Rick Scott",PHIL 136,SP22,35,12,0.833,0.917,5.0,2.9,2.66,False,False,False,True,True
"Vargas, Manuel Rogelio",PHIL 140,SP22,49,11,0.7,0.9,4.7,3.33,2.79,False,False,False,True,True
"McKenzie, Kerry V.",PHIL 145,SP22,46,15,1.0,1.0,3.43,3.73,3.5,False,False,False,True,True
"Callender, Craig Adam",PHIL 148,SP22,38,8,1.0,1.0,3.5,3.63,3.0,False,False,False,True,True
