Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,isPreGPT,isSTEM,isAbstract,isWritten,isUD
"Green, Daniel Richard",PHYS 105B,SP23,30,7,1.0,1.0,6.79,3.29,3.32,False,True,False,False,True
"Murphy, Thomas",PHYS 12,SP23,57,14,0.643,0.857,7.64,3.3,3.02,False,True,False,False,False
"Yang, Liang",PHYS 120,SP23,83,30,0.552,0.9259999999999999,9.3,3.2,3.5,False,True,False,False,True
"Wright, Shelley Adams",PHYS 13,SP23,67,19,0.895,0.895,5.97,3.45,2.96,False,True,False,False,False
"Lin, Tongyan",PHYS 130A,SP23,62,19,1.0,0.9440000000000001,7.97,3.32,3.12,False,True,True,False,True
"Allen, Monica T",PHYS 133,SP23,27,13,1.0,1.0,3.73,3.83,4.0,False,True,False,False,True
"Duarte, Javier Mauricio",PHYS 141,SP23,27,22,0.8640000000000001,0.9520000000000001,8.23,3.27,3.7,False,True,False,False,True
"Keating, Brian",PHYS 162,SP23,39,15,0.867,0.857,5.43,3.13,3.26,False,True,False,False,True
"Gilbert, Dylan Paul",PHYS 1A,SP23,425,147,0.922,0.986,5.9,3.09,2.78,False,True,False,False,False
"Tsai, Philbert S",PHYS 1AL,SP23,332,103,0.465,0.515,5.55,3.09,2.64,False,True,False,False,False
"Yagil, Avi",PHYS 1AL,SP23,332,103,0.465,0.485,5.55,3.09,2.64,False,True,False,False,False
"Gilbert, Dylan Paul",PHYS 1B,SP23,341,114,0.845,0.982,5.95,3.19,2.81,False,True,False,False,False
"Tsai, Philbert S",PHYS 1BL,SP23,336,104,0.469,0.711,4.58,3.18,2.89,False,True,False,False,False
"Yagil, Avi",PHYS 1BL,SP23,336,104,0.469,0.691,4.58,3.18,2.89,False,True,False,False,False
"Popmintchev, Tenio",PHYS 1C,SP23,573,320,0.637,0.696,5.67,3.19,3.37,False,True,False,False,False
"Popmintchev, Tenio",PHYS 1C,SP23,585,373,0.64,0.642,5.38,3.29,3.45,False,True,False,False,False
"Tsai, Philbert S",PHYS 1CL,SP23,1055,458,0.345,0.561,5.1,3.13,3.01,False,True,False,False,False
"Yagil, Avi",PHYS 1CL,SP23,1055,458,0.345,0.527,5.1,3.13,3.01,False,True,False,False,False
"Keres, Dusan",PHYS 2A,SP23,255,97,0.8059999999999999,0.731,6.65,3.0,2.51,False,True,False,False,False
"Shotwell, Brian",PHYS 2B,SP23,207,78,0.838,0.946,8.72,3.13,2.81,False,True,False,False,False
"Shotwell, Brian",PHYS 2B,SP23,319,138,0.7859999999999999,0.9229999999999999,8.15,3.17,2.86,False,True,False,False,False
"Butov, Leonid",PHYS 2BL,SP23,248,88,0.8,0.774,3.58,3.68,3.44,False,True,False,False,False
"Yang, Liang",PHYS 2C,SP23,285,124,0.773,0.773,6.13,3.27,3.02,False,True,False,False,False
"Arlett, Jessica Lynn",PHYS 2CL,SP23,97,31,0.71,0.8390000000000001,4.76,3.55,3.26,False,True,False,False,False
"Du, Chunhui",PHYS 2CL,SP23,97,31,0.71,0.774,4.76,3.55,3.26,False,True,False,False,False
"Branson, James G",PHYS 2D,SP23,41,12,0.727,0.545,7.23,3.27,3.39,False,True,False,False,False
"Frano Pereira, Alex M",PHYS 4E,SP23,97,39,0.972,1.0,8.28,3.27,3.15,False,True,False,False,False
"Fogler, Michael M.",PHYS 100B,WI23,73,22,0.636,0.591,7.86,2.86,2.79,False,True,False,False,True
"Lin, Tongyan",PHYS 105A,WI23,68,25,0.958,1.0,8.02,3.44,3.04,False,True,False,False,True
"Duarte, Javier Mauricio",PHYS 139,WI23,25,8,0.75,1.0,5.25,3.14,3.84,False,True,False,False,True
"You, Yizhuang",PHYS 152A,WI23,27,10,1.0,1.0,5.9,3.6,3.98,False,True,False,False,True
"Sandstrom, Karin Marie",PHYS 160,WI23,36,10,1.0,0.7,6.9,3.6,3.21,False,True,False,False,True
"Konopacky, Quinn Morgan",PHYS 164,WI23,32,27,0.9259999999999999,0.963,8.94,3.26,3.18,False,True,False,False,True
"Groisman, Alexander",PHYS 1A,WI23,324,114,0.627,0.6,7.42,2.97,3.17,False,True,False,False,False
"Arlett, Jessica Lynn",PHYS 1AL,WI23,317,123,0.348,0.555,5.6,2.92,2.73,False,True,False,False,False
"Tsai, Philbert S",PHYS 1AL,WI23,317,123,0.348,0.5429999999999999,5.6,2.92,2.73,False,True,False,False,False
"Yagil, Avi",PHYS 1AL,WI23,317,123,0.348,0.5379999999999999,5.6,2.92,2.73,False,True,False,False,False
"Smith, Douglas E",PHYS 1B,WI23,534,244,0.753,0.797,5.72,3.3,3.12,False,True,False,False,False
"Smith, Douglas E",PHYS 1B,WI23,519,245,0.7390000000000001,0.8270000000000001,5.9,3.27,3.1,False,True,False,False,False
"Arlett, Jessica Lynn",PHYS 1BL,WI23,1002,414,0.391,0.61,4.83,3.15,3.08,False,True,False,False,False
"Tsai, Philbert S",PHYS 1BL,WI23,1002,413,0.389,0.609,4.83,3.15,3.08,False,True,False,False,False
"Yagil, Avi",PHYS 1BL,WI23,1002,413,0.389,0.613,4.83,3.15,3.08,False,True,False,False,False
"Tytler, David Robert",PHYS 1C,WI23,135,57,0.449,0.521,6.3,2.76,2.66,False,True,False,False,False
"Arlett, Jessica Lynn",PHYS 1CL,WI23,171,60,0.36200000000000004,0.42100000000000004,4.74,2.89,2.77,False,True,False,False,False
"Tsai, Philbert S",PHYS 1CL,WI23,171,60,0.36200000000000004,0.536,4.74,2.89,2.77,False,True,False,False,False
"Yagil, Avi",PHYS 1CL,WI23,171,60,0.36200000000000004,0.446,4.74,2.89,2.77,False,True,False,False,False
"Meyertholen, Andrew D.",PHYS 2A,WI23,328,207,0.882,0.95,6.56,3.03,2.66,False,True,False,False,False
"Meyertholen, Andrew D.",PHYS 2A,WI23,212,151,0.872,0.9390000000000001,7.1,3.02,2.76,False,True,False,False,False
"Keres, Dusan",PHYS 2B,WI23,308,167,0.627,0.564,7.67,3.04,2.7,False,True,False,False,False
"Yang, Liang",PHYS 2C,WI23,399,173,0.904,0.825,5.9,3.41,3.15,False,True,False,False,False
"Allen, Monica T",PHYS 2CL,WI23,175,76,0.667,0.726,4.45,3.51,3.25,False,True,False,False,False
"Arlett, Jessica Lynn",PHYS 2CL,WI23,175,76,0.667,0.836,4.45,3.51,3.25,False,True,False,False,False
"Shotwell, Brian",PHYS 2D,WI23,62,30,0.9309999999999999,0.966,7.67,3.18,3.29,False,True,False,False,False
"Chivukula, Raja S",PHYS 4A,WI23,85,41,0.976,0.878,7.75,3.4,2.76,False,True,False,False,False
"Frano Pereira, Alex M",PHYS 4D,WI23,103,46,0.953,0.953,10.41,3.19,2.86,False,True,False,False,False
"Coil, Alison",PHYS 7,WI23,160,51,0.898,0.898,4.78,3.03,2.84,False,True,False,False,False
"Tytler, David Robert",PHYS 10,FA22,58,17,0.33299999999999996,0.467,4.37,2.91,2.46,False,True,False,False,False
"Shotwell, Brian",PHYS 100A,FA22,67,18,1.0,1.0,6.5,3.44,3.46,False,True,False,False,True
"Arovas, Daniel P",PHYS 110A,FA22,62,17,0.706,0.41200000000000003,8.97,3.12,2.84,False,True,False,False,True
"Grover, Tarun",PHYS 130B,FA22,54,21,0.45,0.42100000000000004,10.98,2.48,2.72,False,True,True,False,True
"Shotwell, Brian",PHYS 140A,FA22,67,19,1.0,0.941,8.62,3.28,3.19,False,True,False,False,True
"Fuller, George Michael",PHYS 161,FA22,60,21,0.941,0.882,6.29,3.68,3.65,False,True,False,False,True
"Koslover, Elena F",PHYS 1A,FA22,301,124,0.787,0.86,7.78,3.17,2.89,False,True,False,False,False
"Koslover, Elena F",PHYS 1A,FA22,335,136,0.802,0.892,7.41,3.11,3.03,False,True,False,False,False
"Gilbert, Dylan Paul",PHYS 1A,FA22,543,215,0.956,0.995,5.63,3.54,3.35,False,True,False,False,False
"Arlett, Jessica Lynn",PHYS 1AL,FA22,1101,410,0.445,0.6609999999999999,4.32,3.1,3.23,False,True,False,False,False
"Tsai, Philbert S",PHYS 1AL,FA22,1101,410,0.445,0.622,4.32,3.1,3.23,False,True,False,False,False
"Yagil, Avi",PHYS 1AL,FA22,1101,410,0.445,0.621,4.32,3.1,3.23,False,True,False,False,False
"Groisman, Alexander",PHYS 1B,FA22,312,70,0.631,0.6459999999999999,6.41,3.11,2.81,False,True,False,False,False
"Arlett, Jessica Lynn",PHYS 1BL,FA22,277,61,0.368,0.5820000000000001,4.39,3.05,3.11,False,True,False,False,False
"Tsai, Philbert S",PHYS 1BL,FA22,277,61,0.368,0.6609999999999999,4.39,3.05,3.11,False,True,False,False,False
"Yagil, Avi",PHYS 1BL,FA22,277,61,0.368,0.6,4.39,3.05,3.11,False,True,False,False,False
"Tsai, Philbert S",PHYS 1C,FA22,334,101,0.758,0.871,6.9,3.33,3.25,False,True,False,False,False
"Arlett, Jessica Lynn",PHYS 1CL,FA22,280,77,0.366,0.718,5.11,3.07,3.03,False,True,False,False,False
"Tsai, Philbert S",PHYS 1CL,FA22,280,77,0.366,0.8029999999999999,5.11,3.07,3.03,False,True,False,False,False
"Yagil, Avi",PHYS 1CL,FA22,280,77,0.366,0.7,5.11,3.07,3.03,False,True,False,False,False
"Meyertholen, Andrew D.",PHYS 2A,FA22,365,183,0.865,0.972,6.8,3.19,2.73,False,True,False,False,False
"Branson, James G",PHYS 2B,FA22,137,52,0.235,0.14,9.0,2.63,2.9,False,True,False,False,False
"Barreiro Guerrero, Julio",PHYS 2C,FA22,235,191,0.78,0.7120000000000001,7.1,3.29,3.36,False,True,False,False,False
"Barreiro Guerrero, Julio",PHYS 2C,FA22,269,215,0.804,0.723,6.47,3.29,3.41,False,True,False,False,False
"Du, Chunhui",PHYS 2CL,FA22,284,132,0.774,0.823,4.82,3.62,3.86,False,True,False,False,False
"Hirsch, Jorge Eduardo",PHYS 2D,FA22,20,7,0.7140000000000001,0.7140000000000001,9.07,3.0,2.8,False,True,False,False,False
"Butov, Leonid",PHYS 2DL,FA22,72,14,0.9229999999999999,1.0,4.35,3.69,3.84,False,True,False,False,False
"Green, Daniel Richard",PHYS 39,FA22,32,16,0.8,0.8,6.9,3.07,3.24,False,True,False,False,False
"Averitt, Richard Douglas",PHYS 4C,FA22,117,52,0.78,0.76,10.02,2.84,3.02,False,True,False,False,False
"Konopacky, Quinn Morgan",PHYS 5,FA22,187,115,0.8740000000000001,0.937,4.08,3.14,3.04,False,True,False,False,False
"Barreiro Guerrero, Julio",PHYS 100C,SP22,26,20,0.9470000000000001,0.9470000000000001,7.1,3.6,3.75,False,True,False,False,True
"Murphy, Thomas",PHYS 12,SP22,52,38,0.816,0.838,4.71,3.13,3.25,False,True,False,False,False
"Yang, Liang",PHYS 120,SP22,65,26,0.792,0.9129999999999999,12.9,3.08,3.08,False,True,False,False,True
"Wright, Shelley Adams",PHYS 13,SP22,73,23,0.905,1.0,3.74,3.5,3.01,False,True,False,False,False
"Di Ventra, Massimiliano",PHYS 130A,SP22,71,34,0.8240000000000001,0.529,8.68,2.94,2.8,False,True,True,False,True
"Meyertholen, Andrew D.",PHYS 130A,SP22,71,34,0.8240000000000001,0.971,8.68,2.94,2.8,False,True,True,False,True
"Keating, Brian",PHYS 162,SP22,43,16,0.8,0.733,5.43,3.36,3.74,False,True,False,False,True
