Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,isPreGPT,isSTEM,isAbstract,isWritten,isUD
"Dominguez, Ricardo",VIS 10,SP23,211,80,0.938,0.963,1.53,3.92,3.97,False,False,False,False,False
"Cruz, Edwin Teddy",VIS 102,SP23,77,30,0.821,0.821,3.1,3.89,3.41,False,False,False,False,True
"Cruz, Edwin Teddy",VIS 103,SP23,73,32,0.867,0.9329999999999999,2.94,3.8,3.55,False,False,False,False,True
"Herc-Balaszek, Malgorzata",VIS 105A,SP23,28,15,1.0,1.0,4.5,3.8,3.89,False,False,False,False,True
"Vangenderen, Monique Luise",VIS 106A,SP23,26,16,0.938,0.875,8.77,3.75,3.7,False,False,False,False,True
"Piersol, Sabrina",VIS 106B,SP23,25,7,0.857,1.0,9.93,4.0,3.67,False,False,False,False,True
"Tronzo, William",VIS 122B,SP23,79,23,1.0,1.0,3.45,4.0,3.98,False,False,False,False,True
"Rose, Jordan M",VIS 124CN,SP23,74,23,1.0,0.9520000000000001,5.68,3.57,3.73,False,False,False,False,True
"Kester, Grant",VIS 125G,SP23,72,20,0.895,0.9470000000000001,5.72,3.39,3.38,False,False,False,False,True
"Bratton, Benjamin H.",VIS 133,SP23,55,13,0.6920000000000001,0.583,2.65,3.5,3.75,False,False,False,False,True
"Stone, Patricia",VIS 147A,SP23,43,16,0.7859999999999999,0.308,4.63,3.87,3.83,False,False,False,False,True
"Artenstein, Isaac",VIS 156,SP23,45,10,0.9,0.889,4.9,3.78,3.79,False,False,False,False,True
"Bratton, Benjamin H.",VIS 159,SP23,188,52,0.7709999999999999,0.708,3.38,3.72,3.59,False,False,False,False,True
"Cross, Brian R",VIS 164,SP23,23,12,1.0,1.0,5.17,3.73,3.86,False,False,False,False,True
"Peng, Kaisi",VIS 165,SP23,22,4,1.0,1.0,7.0,4.0,3.91,False,False,False,False,True
"Camargo, William",VIS 167,SP23,22,5,0.75,0.75,6.5,3.75,3.85,False,False,False,False,True
"Trigilio, Michael",VIS 172,SP23,23,8,1.0,1.0,5.75,3.86,3.43,False,False,False,False,True
"Trigilio, Michael",VIS 183B,SP23,24,4,1.0,1.0,10.5,3.5,3.37,False,False,False,False,True
"Erdmann, Dean",VIS 185,SP23,20,13,1.0,1.0,9.58,3.62,3.5,False,False,False,False,True
"Gaines, Malik Julian",VIS 2,SP23,93,17,0.75,1.0,1.5,3.93,3.5,False,False,False,False,False
"Shen, Kuiyi",VIS 21B,SP23,230,91,0.9209999999999999,0.888,4.0,3.68,3.54,False,False,False,False,False
"Rose, Jordan M",VIS 22,SP23,185,72,0.8809999999999999,0.922,3.06,3.61,3.32,False,False,False,False,False
"D'Elena-Tweed, Jessica Erin",VIS 41,SP23,142,44,0.8290000000000001,0.75,4.6,3.89,3.79,False,False,False,False,False
"Segade, Alexandro Abraham",VIS 70N,SP23,132,67,0.924,0.953,3.23,3.88,3.8,False,False,False,False,False
"Williams, Alena J",VIS 84,SP23,273,112,0.596,0.642,4.21,3.4,3.12,False,False,False,False,False
"Camargo, William",VIS 9,SP23,140,37,0.8059999999999999,0.833,2.61,3.88,3.86,False,False,False,False,False
"Park, Kyong Dong",VIS 101,WI23,73,20,0.9,0.9,5.1,3.63,3.51,False,False,False,False,True
"Park, Kyong Dong",VIS 103A,WI23,73,20,1.0,0.9470000000000001,5.13,3.58,3.36,False,False,False,False,True
"Herc-Balaszek, Malgorzata",VIS 105A,WI23,33,18,1.0,1.0,7.61,3.78,3.88,False,False,False,False,True
"Tonies, Joshua Vanjaymes",VIS 105B,WI23,24,8,1.0,1.0,7.0,4.0,3.81,False,False,False,False,True
"Li, Huai",VIS 105D,WI23,27,11,1.0,1.0,4.14,4.0,3.91,False,False,False,False,True
"Tobe, Geoffroy",VIS 106A,WI23,24,18,1.0,1.0,9.5,3.94,3.94,False,False,False,False,True
"Dean, Danielle Adobi",VIS 107A,WI23,25,9,0.75,0.75,7.17,3.67,3.96,False,False,False,False,True
"Cartwright, Lisa",VIS 11,WI23,392,154,0.68,0.779,3.33,3.74,3.71,False,False,False,False,False
"Tonies, Joshua Vanjaymes",VIS 110K,WI23,24,7,1.0,1.0,5.93,4.0,3.99,False,False,False,False,True
"Newsome, Elizabeth Ann",VIS 126BN,WI23,64,16,1.0,1.0,3.25,3.5,3.77,False,False,False,False,True
"Gaines, Malik Julian",VIS 128C,WI23,54,8,0.75,1.0,2.75,3.0,3.41,False,False,False,False,True
"Stuker, Jeffrey Ryan",VIS 135,WI23,43,9,0.778,0.667,1.83,3.89,3.89,False,False,False,False,True
"Stalbaum, Brett",VIS 141A,WI23,50,13,0.9229999999999999,0.9229999999999999,3.58,3.85,3.89,False,False,False,False,True
"Kiratli, Solen",VIS 145A,WI23,87,27,0.9229999999999999,0.731,4.35,3.74,3.81,False,False,False,False,True
"Williams, Alena J",VIS 157,WI23,65,14,0.929,1.0,6.79,3.71,3.39,False,False,False,False,True
"Erdmann, Dean",VIS 164,WI23,21,7,0.857,1.0,9.07,3.86,3.4,False,False,False,False,True
"Cross, Brian R",VIS 164,WI23,22,10,1.0,1.0,7.3,3.7,3.7,False,False,False,False,True
"Sprague, Sean Jeffrey",VIS 165,WI23,22,7,1.0,1.0,7.36,4.0,3.72,False,False,False,False,True
"Nakayama, Yue",VIS 168,WI23,22,7,1.0,1.0,6.17,4.0,3.6,False,False,False,False,True
"Garnett, Mariah J",VIS 171,WI23,24,6,1.0,1.0,5.83,4.0,3.88,False,False,False,False,True
"Nakayama, Yue",VIS 174,WI23,22,10,1.0,0.889,10.28,3.9,3.94,False,False,False,False,True
"Gomez Mostajo, Maria Loren",VIS 174,WI23,22,6,0.833,0.833,5.5,3.4,3.23,False,False,False,False,True
"Cross, Brian R",VIS 180A,WI23,22,4,1.0,1.0,5.83,3.33,3.6,False,False,False,False,True
"Gomez Mostajo, Maria Loren",VIS 180B,WI23,20,3,1.0,1.0,5.17,4.0,3.82,False,False,False,False,True
"Stone, Patricia",VIS 183B,WI23,22,7,0.857,1.0,6.21,3.86,3.85,False,False,False,False,True
"Newsome, Elizabeth Ann",VIS 21A,WI23,112,36,0.514,0.6,2.44,3.52,4.0,False,False,False,False,False
"Rose, Jordan M",VIS 22,WI23,301,137,0.9009999999999999,0.893,2.58,3.69,3.64,False,False,False,False,False
"Rigg, Brianna D",VIS 3,WI23,234,101,0.9590000000000001,0.938,3.3,3.92,3.87,False,False,False,False,False
"Yoldas, Pinar",VIS 32,WI23,63,27,0.9259999999999999,0.846,1.98,3.88,3.58,False,False,False,False,False
"D'Elena-Tweed, Jessica Erin",VIS 41,WI23,180,77,0.8059999999999999,0.778,4.23,3.86,3.81,False,False,False,False,False
"Sprague, Sean Jeffrey",VIS 60,WI23,145,59,0.983,0.966,4.95,3.88,3.84,False,False,False,False,False
"Trigilio, Michael",VIS 7,WI23,143,79,1.0,1.0,1.44,3.96,3.83,False,False,False,False,False
"Kester, Grant",VIS 83,WI23,139,52,0.9229999999999999,0.904,2.42,3.89,3.66,False,False,False,False,False
"Tonies, Joshua Vanjaymes",VIS 1,FA22,389,157,0.987,0.98,4.01,3.89,3.96,False,False,False,False,False
"Cruz, Edwin Teddy",VIS 100,FA22,74,27,0.885,0.9229999999999999,3.65,3.84,3.72,False,False,False,False,True
"Stuker, Jeffrey Ryan",VIS 103D,FA22,58,18,0.875,1.0,4.5,3.64,3.99,False,False,False,False,True
"Tonies, Joshua Vanjaymes",VIS 105A,FA22,34,12,1.0,1.0,7.67,3.92,4.0,False,False,False,False,True
"Tobe, Geoffroy",VIS 105B,FA22,28,14,1.0,1.0,6.96,3.92,3.82,False,False,False,False,True
"Tobe, Geoffroy",VIS 106A,FA22,24,10,1.0,1.0,7.5,3.8,3.55,False,False,False,False,True
"De Luca, Mara Julia",VIS 106B,FA22,25,24,1.0,1.0,9.25,4.0,3.99,False,False,False,False,True
"Newsome, Elizabeth Ann",VIS 126HN,FA22,69,18,1.0,0.9440000000000001,3.06,3.78,3.84,False,False,False,False,True
"Stuker, Jeffrey Ryan",VIS 133,FA22,59,15,0.9329999999999999,1.0,5.03,3.79,4.0,False,False,False,False,True
"Stalbaum, Brett",VIS 142,FA22,142,35,0.8290000000000001,0.8240000000000001,5.64,3.79,4.0,False,False,False,False,True
"Akten, Mehmet",VIS 143,FA22,23,4,1.0,1.0,6.0,3.75,3.79,False,False,False,False,True
"Stalbaum, Brett",VIS 147A,FA22,43,9,0.889,0.889,4.94,3.89,4.0,False,False,False,False,True
"Bratton, Benjamin H.",VIS 163,FA22,29,10,0.9,0.9,3.3,3.89,4.0,False,False,False,False,True
"Nakayama, Yue",VIS 164,FA22,22,15,0.867,0.667,6.23,3.87,3.86,False,False,False,False,True
"Camargo, William",VIS 165A,FA22,22,4,1.0,1.0,6.0,4.0,3.77,False,False,False,False,True
"Ortiz-Torres, Ruben",VIS 167,FA22,20,10,0.889,0.667,6.28,3.78,3.67,False,False,False,False,True
"Garnett, Mariah J",VIS 174,FA22,23,5,1.0,1.0,5.3,3.8,3.93,False,False,False,False,True
"Garnett, Mariah J",VIS 175,FA22,22,8,1.0,1.0,4.75,4.0,3.97,False,False,False,False,True
"Segade, Alexandro Abraham",VIS 177,FA22,23,7,1.0,1.0,5.07,4.0,3.87,False,False,False,False,True
"Zurita, Dmitri",VIS 178,FA22,22,11,0.909,0.9,5.95,3.91,3.71,False,False,False,False,True
"Nakayama, Yue",VIS 180A,FA22,23,19,0.9470000000000001,0.9440000000000001,8.39,3.84,3.93,False,False,False,False,True
"Sepuya, Paul Mpagi",VIS 183A,FA22,22,4,1.0,1.0,7.17,4.0,3.85,False,False,False,False,True
"Woods, Ann",VIS 20,FA22,358,153,0.9059999999999999,0.973,3.14,3.65,3.16,False,False,False,False,False
"Stone, Patricia",VIS 30,FA22,86,31,0.774,0.871,2.89,3.87,4.0,False,False,False,False,False
"D'Elena-Tweed, Jessica Erin",VIS 41,FA22,193,73,0.871,0.884,4.44,3.8,4.0,False,False,False,False,False
