Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Li, Shaowei",CHEM 100A,SP23,102,41,0.667,0.6940000000000001,10.56,3.24,3.35
"Pomeroy, Robert S.",CHEM 100B,SP23,30,13,0.833,0.833,8.96,3.23,3.04
"Sinha, Amitabha",CHEM 105A,SP23,37,11,0.727,0.909,9.41,2.91,2.87
"Jennings, Patricia A.",CHEM 108,SP23,48,16,0.813,0.563,7.5,3.31,3.61
"Jennings, Patricia A.",CHEM 108,SP23,42,17,0.588,0.5,6.38,3.65,3.57
"Muller, Ulrich K.",CHEM 109,SP23,47,17,0.8240000000000001,0.647,8.03,3.67,3.73
"Muller, Ulrich K.",CHEM 109,SP23,44,13,0.917,0.917,7.73,3.69,3.5
"Mrse, Anthony Adrian",CHEM 11,SP23,237,84,0.8270000000000001,0.875,4.65,3.14,2.64
"Thiemens, Mark H",CHEM 111,SP23,96,34,0.833,0.966,4.3,3.59,3.25
"Mishanina, Tatiana V",CHEM 114B,SP23,80,49,0.878,1.0,8.83,3.06,3.01
"Donoghue, Daniel J.",CHEM 118,SP23,236,76,0.9440000000000001,0.8590000000000001,5.2,3.56,3.17
"Joseph, Simpson",CHEM 119,SP23,29,13,0.917,1.0,7.58,3.31,3.07
"Rinehart, Jeffrey Dennis",CHEM 120B,SP23,99,29,0.8079999999999999,0.8079999999999999,5.04,3.42,2.85
"Kim, Judy E.",CHEM 126B,SP23,97,31,0.833,0.9,10.11,3.0,2.88
"Xiong, Wei",CHEM 132,SP23,85,27,0.64,0.958,7.22,3.0,2.78
"Weizman, Haim",CHEM 143B,SP23,28,12,0.75,1.0,6.32,2.82,3.24
"Burkart, Michael D",CHEM 157,SP23,56,38,0.73,0.865,5.99,3.09,2.94
"Herzik, Mark Anthony",CHEM 165,SP23,21,7,0.857,1.0,3.93,3.43,3.72
"Deshmukh, Lalit",CHEM 167,SP23,137,78,0.909,0.909,5.49,3.24,3.05
"Young, Mark",CHEM 173,SP23,34,12,0.833,0.75,4.5,3.27,3.2
"Pomeroy, Robert S.",CHEM 174,SP23,38,8,1.0,1.0,3.75,3.38,3.05
"Albizati, Kim F.",CHEM 40A,SP23,278,102,0.8759999999999999,0.9690000000000001,7.71,2.96,2.66
"Jazzar, Rodolphe",CHEM 40B,SP23,301,147,0.718,0.857,6.3,3.02,2.95
"Jazzar, Rodolphe",CHEM 40B,SP23,285,131,0.782,0.895,6.75,3.05,2.93
"Tor, Yitzhak",CHEM 40C,SP23,118,52,0.49,0.706,9.15,2.74,2.9
"Romero, Nathan A",CHEM 41C,SP23,234,217,0.591,0.629,8.42,2.75,3.1
"Lam, Tin Yiu",CHEM 43A,SP23,271,127,0.815,0.863,8.42,3.39,3.27
"Lam, Tin Yiu",CHEM 43A,SP23,249,116,0.8,0.9179999999999999,8.7,3.41,3.2
"Deshmukh, Lalit",CHEM 6A,SP23,261,209,0.861,0.769,6.34,3.02,2.69
"Young, Mark",CHEM 6B,SP23,218,103,0.545,0.34,7.73,2.69,2.63
"Hopkins, Patrycja Anna",CHEM 6B,SP23,233,120,0.687,0.711,7.28,2.9,2.81
"Albizati, Kim F.",CHEM 6C,SP23,230,94,0.9329999999999999,0.9890000000000001,7.39,3.11,2.74
"Hopkins, Patrycja Anna",CHEM 6C,SP23,208,94,0.8440000000000001,0.807,6.61,3.32,2.96
"Brydges, Stacey",CHEM 6C,SP23,276,128,0.825,0.895,6.94,3.25,3.03
"Stallings, Dontarie M",CHEM 6C,SP23,280,140,0.9470000000000001,0.9620000000000001,7.06,3.57,3.12
"Bussey, Thomas J",CHEM 6C,SP23,204,104,0.95,0.97,6.3,3.42,3.02
"Kubiak, Clifford Paul",CHEM 6CH,SP23,26,15,0.9329999999999999,1.0,7.3,3.93,3.74
