Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Johnson, Sara E.",LTAM 111,SP23,46,38,1.0,1.0,4.99,3.76,3.84
"Fiss, Geraldine Anna",LTEA 110C,SP23,53,39,1.0,1.0,6.09,3.71,3.75
"Liao, Ping H",LTEA 120B,SP23,225,70,0.627,0.591,5.25,3.73,3.56
"Mendoza, Andrea",LTEA 132,SP23,58,9,1.0,1.0,5.0,3.88,3.65
"Lee, Jin-Kyung",LTEA 143,SP23,61,21,0.905,0.9,3.17,3.85,3.42
"Lerer, Seth",LTEN 112,SP23,38,12,1.0,1.0,3.95,3.73,3.9
"Loose, Margaret",LTEN 142,SP23,26,11,0.9,0.9,7.59,3.63,3.45
"Vijay, Ameeth Varma",LTEN 144,SP23,33,14,0.769,0.9229999999999999,6.65,3.54,3.78
"Batarseh, Amanda Alicia",LTEN 179,SP23,22,10,1.0,1.0,4.1,3.9,3.97
"Suzuki, Erin M.",LTEN 181,SP23,56,21,1.0,1.0,5.4,3.69,3.72
"Wesling, Megan E.",LTEN 26,SP23,99,74,0.973,0.972,4.8,3.86,3.83
"Childs, Dennis R.",LTEN 27,SP23,81,30,1.0,0.9329999999999999,4.9,3.67,3.22
"De Marchi Gherini, Adriana",LTEU 100,SP23,37,16,0.9329999999999999,1.0,3.5,3.75,3.98
"Glaser, Amelia",LTEU 154,SP23,25,11,1.0,1.0,5.95,3.5,3.59
"Cho, Hye Jin",LTKO 1C,SP23,24,7,1.0,1.0,5.64,3.71,3.52
"Tark, Eun Sun",LTKO 1C,SP23,24,9,1.0,1.0,4.06,3.8,3.74
"Yim, Nancy",LTKO 1C,SP23,22,8,1.0,1.0,3.5,3.67,3.7
"Yim, Nancy",LTKO 1C,SP23,20,8,1.0,1.0,5.75,3.8,3.67
"Lee, Jeyseon",LTKO 2C,SP23,21,6,1.0,1.0,3.83,3.75,3.57
"Murray, Kourtney Kristine",LTLA 3,SP23,38,12,1.0,1.0,3.95,4.0,3.86
"Martin-Cabrera, Luis",LTSP 100B,SP23,23,13,1.0,1.0,2.5,3.92,3.84
"Arcos Herrera, Carol",LTSP 100B,SP23,22,8,1.0,1.0,4.5,3.88,3.69
"Guillermoprieto, Maria Del",LTSP 2A,SP23,23,11,0.818,0.727,5.41,3.2,3.25
"Mastromartino, Alexandra L",LTSP 2E,SP23,24,22,1.0,1.0,3.59,3.59,3.58
"duBois, Page Ann",LTWL 100,SP23,50,11,1.0,1.0,2.5,4.0,3.7
"Rahimi, Babak",LTWL 157,SP23,41,18,0.9440000000000001,0.941,2.94,3.94,4.0
"Miyao, Daisuke",LTWL 184,SP23,40,12,1.0,1.0,4.17,3.92,3.9
"Doller, Ben",LTWR 109,SP23,30,9,1.0,0.857,3.5,4.0,3.88
"Som, Brandon D",LTWR 115,SP23,29,12,1.0,1.0,3.83,3.92,3.9
"Wilkinson, Marco",LTWR 122,SP23,22,18,0.889,1.0,4.28,3.69,3.74
"Forbes, Camille",LTWR 126,SP23,29,18,1.0,1.0,4.5,3.67,3.23
"Springer, Anna Joy",LTWR 8A,SP23,86,77,0.792,0.816,4.73,3.53,3.69
"Doller, Ben",LTWR 8B,SP23,95,33,0.938,0.938,2.25,3.93,3.51
"Liao, Ping H",LTCH 101,WI23,105,27,0.885,0.84,4.81,3.82,3.51
"Miyao, Daisuke",LTEA 138,WI23,292,83,0.987,1.0,4.93,3.96,3.89
"Lee, Jin-Kyung",LTEA 141,WI23,45,10,1.0,1.0,5.7,3.7,3.75
