Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Patrick, Gentry",BILD 1 - The Cell (A),SP23,134,44,87.8%,78.0%,5.86,B (3.03),B- (2.91)
"Rusert, Jessica Marie",BILD 1 - The Cell (D),SP23,157,102,81.2%,86.0%,5.81,B- (2.93),C+ (2.44)
"Burg, Michael",BILD 2 - Multicellular Life (A),SP23,238,186,96.2%,95.2%,5.39,B (3.23),B- (2.94)
"Park, Ji Young",BILD 2 - Multicellular Life (B),SP23,205,165,96.3%,96.3%,6.10,B+ (3.42),B (3.01)
"Park, Ji Young",BILD 2 - Multicellular Life (C),SP23,245,197,93.9%,93.8%,5.72,B+ (3.43),B- (2.92)
"Pillus, Lorraine",BILD 20 - Human Genetics/Modern Society (A),SP23,121,99,70.8%,84.0%,4.13,B- (2.78),B (3.06)
"Goldrath, Ananda",BILD 28 - Immunology/Vaccines (A),SP23,63,41,75.0%,85.0%,5.09,C+ (2.61),B- (2.92)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (C),SP23,343,265,87.5%,91.6%,4.77,B+ (3.35),B- (2.90)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (D),SP23,318,230,88.6%,93.0%,4.77,B+ (3.31),B- (3.00)
"Madigan, Cressida Ariana",BILD 30 - Biol of Plagues:Past & Present (A),SP23,87,73,97.3%,93.2%,3.18,B+ (3.69),B (3.17)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),SP23,93,39,100.0%,100.0%,3.50,B+ (3.61),B+ (3.48)
"Pickett, Brooke Elizabeth",BILD 4 - Introductory Biology Lab (B),SP23,104,82,96.3%,95.1%,2.82,A- (3.85),A- (3.78)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (C),SP23,99,70,94.1%,97.1%,3.03,B+ (3.70),A- (3.73)
"Mayfield, Stephen P.",BILD 42 - Our Sustainable Future (A),SP23,91,34,97.0%,93.8%,5.95,B (3.21),B- (2.84)
"Mueller, Liam O'Connor",BILD 5 - Data Analysis/Design for Bio (A),SP23,53,34,97.1%,100.0%,4.56,A- (3.71),B+ (3.52)
"Rifkin, Scott","BILD 61 - Biology, Race, and Society (A)",SP23,113,42,75.7%,91.9%,6.24,A- (3.73),B+ (3.41)
"Pogliano, Joseph",BILD 83 - Business Comm for Bio Sci (A),SP23,31,11,100.0%,100.0%,2.32,A- (3.88),A (4.00)
"Saier, Milton H.",BILD 87 - First-year Seminar (A),SP23,18,11,81.8%,81.8%,0.86,A (4.00),N/A
"Saier, Milton H.",BILD 87 - First-year Seminar (B),SP23,11,6,100.0%,100.0%,0.83,A (4.00),N/A
"Smith, Laurie",BILD 87 - First-year Seminar (C),SP23,19,7,100.0%,100.0%,0.79,A (4.00),N/A
"Pickett, Brooke Elizabeth",BILD 1 - The Cell (A),WI23,270,248,90.7%,91.1%,5.73,B (3.22),B- (2.81)
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (B),WI23,275,223,95.0%,95.9%,5.58,B+ (3.49),B (3.17)
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (C),WI23,253,215,95.3%,97.7%,5.71,B+ (3.59),B (3.30)
"Madigan, Cressida Ariana",BILD 1 - The Cell (D),WI23,246,187,88.1%,88.1%,5.08,B+ (3.34),B+ (3.69)
"Komiyama, Takaki",BILD 12 - Neurobiology and Behavior (A),WI23,77,34,97.0%,97.0%,3.32,B+ (3.36),B- (2.86)
"Schroeder, Julian I",BILD 2 - Multicellular Life (A),WI23,253,183,96.1%,94.4%,4.64,B+ (3.50),B (3.25)
"Park, Ji Young",BILD 2 - Multicellular Life (B),WI23,208,171,98.2%,98.2%,6.06,B+ (3.59),B (3.27)
"Su, Chih-Ying",BILD 2 - Multicellular Life (C),WI23,20,11,90.9%,90.9%,7.77,B (3.00),B- (2.87)
"Reyes Gonzalez, Catalina",BILD 2 - Multicellular Life (D),WI23,96,80,91.3%,92.4%,5.45,B (3.23),B (3.03)
"Strause, Linda G.",BILD 22 - Human Nutrition (A),WI23,342,172,94.6%,93.9%,3.99,B+ (3.32),B+ (3.44)
"Hammond, LaTisha Marie",BILD 3 - Organismic&Evolutionary Biol (A),WI23,282,121,99.1%,83.9%,3.81,B+ (3.68),B+ (3.60)
"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (A),WI23,282,121,99.1%,100.0%,3.81,B+ (3.68),B+ (3.60)
"Hammond, LaTisha Marie",BILD 3 - Organismic&Evolutionary Biol (B),WI23,312,150,91.2%,88.3%,4.00,B+ (3.55),B (3.26)
"Kohn, Joshua R",BILD 3 - Organismic&Evolutionary Biol (B),WI23,312,150,91.2%,78.6%,4.00,B+ (3.55),B (3.26)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (C),WI23,367,237,90.1%,88.4%,4.58,B+ (3.30),B (3.28)
"Macagno, Eduardo R.","BILD 38 - Dementia, Science and Society (A)",WI23,63,37,90.9%,91.2%,3.24,A- (3.71),A- (3.73)
"Lo, Stanley M.",BILD 4 - Introductory Biology Lab (A),WI23,130,78,96.0%,100.0%,3.38,A- (3.80),A- (3.74)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),WI23,154,74,94.4%,98.6%,3.03,B+ (3.68),B+ (3.59)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (C),WI23,130,86,93.0%,92.9%,2.92,A- (3.71),B+ (3.47)
"Pickett, Brooke Elizabeth",BILD 4 - Introductory Biology Lab (D),WI23,177,147,95.9%,90.4%,3.19,A- (3.77),B+ (3.65)
"Cleland, Elsa Eleanor",BILD 46 - Eco: Changing Planet (A),WI23,61,29,96.6%,96.6%,3.12,B+ (3.59),B+ (3.50)
"Mueller, Liam O'Connor",BILD 5 - Data Analysis/Design for Bio (A),WI23,37,27,96.3%,100.0%,4.28,B+ (3.67),B+ (3.34)
"Mel, Stephanie",BILD 60 - DEI in Relation to Human Bio (A),WI23,47,21,100.0%,95.2%,3.07,A- (3.89),A- (3.83)
"Juavinett, Ashley Lauren",BILD 62 - Intro to Python for Biologists (A),WI23,89,43,95.3%,97.7%,5.15,A- (3.78),A- (3.75)
"Pogliano, Joseph",BILD 81 - Job Intern Prep:Interview (A),WI23,30,11,100.0%,100.0%,1.70,A- (3.70),A- (3.87)
"McDonnell, Lisa Marie",BILD 87 - First-year Seminar (A),WI23,19,14,92.9%,100.0%,1.50,A (4.00),N/A
"Meaders, Clara Leigh",BILD 87 - First-year Seminar (A),WI23,19,14,92.9%,100.0%,1.50,A (4.00),N/A
"Pickett, Brooke Elizabeth",BILD 1 - The Cell (A),FA22,238,103,94.0%,94.9%,4.90,B (3.30),C+ (2.53)
"Pekkurnaz Banghart, Gulcin",BILD 1 - The Cell (B),FA22,251,219,92.7%,91.8%,6.08,B (3.15),B+ (3.48)
"Meaders, Clara Leigh",BILD 1 - The Cell (C),FA22,252,168,98.8%,99.4%,5.98,B+ (3.63),B+ (3.59)
"Meaders, Clara Leigh",BILD 1 - The Cell (D),FA22,251,170,97.6%,98.2%,5.75,B+ (3.62),B+ (3.62)
"Cooper, Andrew Michael",BILD 1 - The Cell (E),FA22,212,178,92.7%,89.2%,6.03,B (3.10),B- (2.75)
"Gustafson-Brown, Cindy",BILD 10 - Fundamental Concepts/Modrn Bio (A),FA22,184,139,91.4%,97.8%,4.83,B (3.07),B- (2.81)
"Glasgow, Stacey Marie",BILD 2 - Multicellular Life (A),FA22,39,29,93.1%,89.7%,4.64,B+ (3.54),B (3.29)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (B),FA22,178,123,100.0%,94.1%,5.46,A- (3.74),B (3.03)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (C),FA22,194,127,96.9%,95.3%,5.17,A- (3.79),B (3.17)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),FA22,157,90,87.5%,87.5%,3.66,B+ (3.42),B (3.06)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),FA22,281,194,92.7%,97.9%,4.77,B+ (3.39),B (3.17)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),FA22,285,212,96.2%,98.1%,4.20,B+ (3.37),B (3.12)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (C),FA22,241,155,87.0%,88.9%,5.06,B (3.20),B (3.10)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (D),FA22,275,215,85.5%,90.0%,4.90,B- (2.95),B (3.21)
"Burg, Michael",BILD 32 - Intro to Cancer Biology (A),FA22,213,175,95.4%,98.9%,4.47,B (3.13),B- (2.71)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),FA22,382,206,94.9%,98.0%,3.22,B+ (3.56),A- (3.77)
"Lo, Stanley M.",BILD 4 - Introductory Biology Lab (B),FA22,376,285,93.9%,95.7%,3.31,A- (3.72),A- (3.87)
"Reuther, Keefe",BILD 5 - Data Analysis/Design for Bio (A),FA22,49,29,89.7%,96.6%,6.43,B+ (3.44),B+ (3.42)
"Hammond, LaTisha Marie",BILD 60 - DEI in Relation to Human Bio (A),FA22,47,21,95.0%,95.0%,3.50,A- (3.80),B+ (3.68)
"Macagno, Eduardo R.",BILD 60 - DEI in Relation to Human Bio (B),FA22,50,18,61.1%,66.7%,3.28,A- (3.76),A- (3.79)
"Aljadeff, Johnatan",BILD 62 - Intro to Python for Biologists (A),FA22,83,40,59.0%,43.6%,4.91,B+ (3.38),B- (2.71)
"Pogliano, Joseph",BILD 80 - Job Intern Prep:Job App (A),FA22,42,10,100.0%,90.0%,2.30,A- (3.88),A- (3.83)
"Pogliano, Joseph",BILD 84R - Career Exploration in Bio Sci (A),FA22,64,30,96.6%,100.0%,1.74,A- (3.96),A- (3.91)
"Bascom Jr., Carlisle S",BILD 1 - The Cell (A),S222,62,56,96.4%,92.7%,7.05,B+ (3.50),B+ (3.31)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),S222,53,31,96.7%,100.0%,4.63,B (3.27),B+ (3.30)
"Gustafson-Brown, Cindy",BILD 30 - Biol of Plagues:Past & Present (A),S222,10,7,100.0%,100.0%,7.36,B+ (3.50),N/A
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (A),S222,45,26,100.0%,92.0%,3.86,B+ (3.69),A- (3.71)
"Cooper, Andrew Michael",BILD 1 - The Cell (A),S122,45,39,76.9%,79.5%,6.82,B (3.09),B- (2.86)
"Lee, Donghyung",BILD 12 - Neurobiology and Behavior (A),S122,11,9,100.0%,100.0%,4.50,A- (3.71),N/A
"Lebeaupin, Cynthia D",BILD 2 - Multicellular Life (A),S122,172,111,100.0%,99.1%,6.34,A- (3.77),A- (3.78)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),S122,11,8,100.0%,100.0%,5.50,B+ (3.43),N/A
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (A),S122,217,127,88.9%,88.9%,6.53,B+ (3.54),B+ (3.39)
"Spencer, Tara Clare Jewel",BILD 30 - Biol of Plagues:Past & Present (A),S122,11,4,66.7%,100.0%,5.83,B+ (3.50),N/A
"Cooper, Andrew Michael",BILD 1 - The Cell (A),SP22,188,160,85.6%,84.9%,5.15,B (3.23),B (3.15)
"Meaders, Clara Leigh",BILD 1 - The Cell (B),SP22,186,137,96.2%,99.2%,5.67,B+ (3.62),B+ (3.38)
"Rusert, Jessica Marie",BILD 1 - The Cell (C),SP22,89,66,92.4%,87.7%,4.83,B (3.02),B- (2.74)
"Rusert, Jessica Marie",BILD 1 - The Cell (D),SP22,107,75,94.5%,91.8%,5.77,B+ (3.38),B- (2.94)
"Alfonso, Stephanie Isabel",BILD 1 - The Cell (E),SP22,59,17,70.6%,47.1%,5.79,B (3.19),C+ (2.46)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (A),SP22,189,151,98.7%,99.3%,5.94,B+ (3.62),B (3.09)
"Park, Ji Young",BILD 2 - Multicellular Life (B),SP22,156,105,98.1%,97.1%,5.55,B+ (3.55),B (3.04)
"Park, Ji Young",BILD 2 - Multicellular Life (C),SP22,153,113,93.7%,99.1%,5.43,B+ (3.61),B (3.23)
"Park, Ji Young",BILD 2 - Multicellular Life (D),SP22,157,118,96.6%,98.3%,5.39,B+ (3.58),B (3.19)
"Goldrath, Ananda",BILD 28 - Immunology/Vaccines (A),SP22,72,27,83.3%,95.8%,4.50,B+ (3.30),B- (2.73)
"Cooper, Kimberly Lynn",BILD 3 - Organismic&Evolutionary Biol (A),SP22,138,97,98.9%,100.0%,4.40,B (3.22),B- (2.89)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),SP22,185,135,94.8%,97.8%,4.66,B+ (3.49),B (3.21)
"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (C),SP22,188,84,98.8%,100.0%,3.81,B+ (3.60),B+ (3.64)
"Hammond, LaTisha Marie",BILD 3 - Organismic&Evolutionary Biol (D),SP22,167,64,90.3%,96.8%,4.34,B+ (3.46),B (3.17)
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (E),SP22,83,43,76.7%,76.7%,5.36,B (3.00),C+ (2.38)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),SP22,177,111,91.8%,96.9%,3.49,B+ (3.59),B+ (3.61)
"Pickett, Brooke Elizabeth",BILD 4 - Introductory Biology Lab (B),SP22,187,120,96.7%,93.3%,2.88,A- (3.86),A- (3.79)
"Mueller, Liam O'Connor",BILD 5 - Data Analysis/Design for Bio (A),SP22,27,15,86.7%,93.3%,4.36,A- (3.77),B+ (3.38)
"Rifkin, Scott",BILD 60 - DEI in Relation to Human Bio (A),SP22,44,19,84.2%,100.0%,5.24,B+ (3.69),B (3.29)
"Juavinett, Ashley Lauren",BILD 62 - Intro to Python for Biologists (A),SP22,46,23,95.5%,100.0%,4.86,A- (3.89),A- (3.73)
"Saier, Milton H.",BILD 87 - First-year Seminar (A),SP22,16,7,85.7%,100.0%,0.79,B+ (3.33),N/A
"Saier, Milton H.",BILD 87 - First-year Seminar (B),SP22,16,9,88.9%,88.9%,0.50,A (4.00),N/A
"Hampton, Randolph Y.",BILD 87 - First-year Seminar (C),SP22,15,10,100.0%,100.0%,0.50,N/A,N/A
"Briggs, Steven",BILD 92 - Prof Dev Topics in Biology (A),SP22,13,5,100.0%,100.0%,1.50,N/A,N/A
"Cooper, Andrew Michael",BILD 1 - The Cell (A),WI22,154,127,92.1%,88.7%,6.04,B (3.09),B- (2.87)
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (B),WI22,190,149,98.6%,99.3%,5.18,A- (3.77),B+ (3.57)
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (C),WI22,345,286,97.2%,99.6%,5.37,A- (3.74),B+ (3.53)
"Dutton, Rachel Janelle",BILD 1 - The Cell (D),WI22,227,197,96.4%,96.9%,5.01,B+ (3.54),B+ (3.58)
"Cooper, Andrew Michael",BILD 1 - The Cell (E),WI22,156,126,89.6%,88.8%,4.47,B+ (3.31),B (3.07)
"Park, Ji Young",BILD 2 - Multicellular Life (A),WI22,159,132,96.9%,98.5%,5.19,B+ (3.67),B+ (3.42)
"Schroeder, Julian I",BILD 2 - Multicellular Life (B),WI22,159,110,89.1%,88.9%,4.59,B+ (3.34),B+ (3.43)
"Reyes Gonzalez, Catalina",BILD 2 - Multicellular Life (C),WI22,116,87,96.6%,91.9%,5.44,B (3.12),B- (2.85)
"Miller, Steven W.",BILD 2 - Multicellular Life (D),WI22,32,19,94.7%,89.5%,5.66,B (3.11),B- (2.85)
