Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Alexandrov, Ludmil B",BENG 100 - Intro to Prob & Stats for BENG (A),SP23,132,70,61.5%,86.2%,6.56,B (3.03),B (3.03)
"Fraley, Stephanie I.",BENG 103B - Bioengineering Mass Transfer (A),SP23,128,86,75.0%,94.0%,8.60,B (3.22),B (3.09)
"Shi, Lingyan",BENG 112B - Fluid and Cell Biomechanics (A),SP23,56,39,84.2%,71.1%,5.24,B+ (3.50),B (3.21)
"Hasty, Jeff M",BENG 125 - Modeling & Computatio/Bioengr (A),SP23,136,37,88.9%,80.6%,4.27,B+ (3.57),B+ (3.46)
"Cabrales, Pedro",BENG 140B - Bioengineering Physiology (A),SP23,72,47,80.4%,82.6%,6.88,B+ (3.32),B (3.25)
"Cabrales, Pedro",BENG 172 - Bioengineering Laboratory (A),SP23,53,27,75.0%,100.0%,8.02,A- (3.80),B+ (3.62)
"Omens, Jeffrey Howard",BENG 172 - Bioengineering Laboratory (A),SP23,53,27,75.0%,94.1%,8.02,A- (3.80),B+ (3.62)
"Bafna, Vineet",BENG 182 - Biological Databases (A),SP23,20,8,71.4%,85.7%,4.79,A- (3.71),B (3.22)
"Omens, Jeffrey Howard",BENG 87 - Freshman Seminar (A),SP23,15,6,83.3%,100.0%,1.83,A (4.00),N/A
"Chen, Shaochen",CENG 101B - Heat Transfer (A),SP23,17,12,91.7%,91.7%,6.83,C+ (2.67),N/A
"Opatkiewicz, Justin Paul",CENG 101C - Mass Transfer (A),SP23,46,39,97.4%,100.0%,8.19,B (3.10),B (3.10)
"Powell, Alyssa",CENG 101C - Mass Transfer (B),SP23,51,41,82.9%,95.1%,8.50,B (3.20),B (3.15)
"Drews, Aaron",CENG 113 - Chemical Reaction Engineering (A),SP23,120,106,86.8%,95.3%,9.59,B (3.18),B- (2.85)
"Powell, Alyssa",CENG 124B - Chem Plant & Process Design II (A),SP23,91,49,93.9%,98.0%,5.48,B+ (3.69),A- (3.88)
"Russ, Benjamin Edward",CENG 124B - Chem Plant & Process Design II (A),SP23,91,49,93.9%,98.0%,5.48,B+ (3.69),A- (3.88)
"Opatkiewicz, Justin Paul",CENG 157 - Process Tech in Semiconductor (A),SP23,52,27,96.2%,100.0%,5.12,B (3.15),B+ (3.35)
"Drews, Aaron",CENG 170 - Experimental Methods/ChemEng (A),SP23,29,18,94.1%,88.2%,6.38,B+ (3.59),B (3.23)
"Steinmetz, Nicole F",CENG 175 - NanoEngineering in Medicine (A),SP23,32,15,100.0%,100.0%,3.93,B+ (3.50),B+ (3.52)
"Zhang, Liangfang",CENG 176B - Chem Engineerng Process Lab II (A),SP23,48,18,100.0%,100.0%,6.72,A- (3.83),B+ (3.69)
"Shah, Nisarg",CENG 176B - Chem Engineerng Process Lab II (B),SP23,44,15,92.3%,100.0%,7.12,A- (3.77),A- (3.73)
"Evdokimenko, Ekaterina",ENG 10 - Fundamentals/Engineering Appln (A),SP23,17,13,92.3%,92.3%,3.12,B+ (3.64),N/A
"Ngo, Anh-Thu T.",ENG 100D - Sustainable Development Design (A),SP23,54,40,95.0%,97.5%,4.60,A- (3.87),B+ (3.65)
"Hein, Lin Thu",ENG 100DR - Sustainable Development Design (A),SP23,48,27,88.9%,96.2%,5.96,A- (3.85),A- (3.85)
"Hein, Lin Thu",ENG 100DR - Sustainable Development Design (B),SP23,39,19,84.2%,89.5%,5.24,B+ (3.68),B+ (3.62)
"Bratton, Maryann",ENG 100L - Design for Development Lab (B),SP23,7,3,100.0%,100.0%,3.17,A (4.00),N/A
"Kleissl, Jan",ENG 100L - Design for Development Lab (H),SP23,8,3,100.0%,100.0%,1.17,A (4.00),N/A
"Sah, Robert Lie-Yuan",BENG 1 - Introduction to Bioengineering (A),WI23,157,88,69.4%,76.5%,3.17,B+ (3.57),N/A
"Valdez-Jasso, Daniela",BENG 112A - Soft Tissue Biomechanics (A),WI23,65,21,81.0%,100.0%,6.69,B (3.24),B- (2.86)
"Taylor Amos, Alyssa C",BENG 119B - Design Implmntatn Biomechanics (A),WI23,22,5,100.0%,100.0%,6.10,A (4.00),A- (3.87)
"Wheeler, Bruce Christopher",BENG 119B - Design Implmntatn Biomechanics (A),WI23,22,5,100.0%,100.0%,6.10,A (4.00),A- (3.87)
"Huang, Xiaohua",BENG 120 - Org Chem-Structural & Design (A),WI23,56,25,68.0%,64.0%,4.82,B+ (3.44),B+ (3.66)
"Palsson, Bernhard O.",BENG 123 - Dynamic Simulatn in Bioeng (A),WI23,78,31,65.5%,72.4%,9.88,B (3.14),B- (2.97)
"Silva, Gabriel",BENG 130 - Biotech Thermodynamics & Kinet (A),WI23,164,68,42.6%,28.4%,5.35,B (3.10),C+ (2.63)
"Silva, Gabriel",BENG 140A - Bioengineering Physiology (A),WI23,78,35,85.3%,82.4%,4.91,B+ (3.61),B+ (3.55)
"Taylor Amos, Alyssa C",BENG 152 - BioSystems Engineering Lab (A),WI23,21,10,88.9%,66.7%,8.30,A- (3.90),A- (3.77)
"Wheeler, Bruce Christopher",BENG 152 - BioSystems Engineering Lab (A),WI23,21,10,88.9%,100.0%,8.30,A- (3.90),A- (3.77)
"Huang, Xiaohua",BENG 161B - Biochemical Engineering (A),WI23,62,10,60.0%,55.6%,7.30,B+ (3.56),B+ (3.50)
"Shi, Lingyan",BENG 168 - Biomolecular Engineering (A),WI23,103,33,65.6%,50.0%,5.31,B+ (3.34),B+ (3.55)
"Taylor Amos, Alyssa C",BENG 179B - Design Implmnt Bioinstrumntatn (A),WI23,27,6,83.3%,83.3%,10.83,A- (3.83),B+ (3.59)
"Wheeler, Bruce Christopher",BENG 179B - Design Implmnt Bioinstrumntatn (A),WI23,27,6,83.3%,83.3%,10.83,A- (3.83),B+ (3.59)
"Pevzner, Pavel Arkadjevich",BENG 181 - Molecular Sequence Analysis (A),WI23,21,15,69.2%,76.9%,17.50,B (3.17),B+ (3.53)
"Cauwenberghs, Gert",BENG 186B - Princpls/Bioinstrumentatn Desn (A),WI23,74,23,78.3%,78.3%,9.20,B+ (3.35),B+ (3.45)
"Taylor Amos, Alyssa C",BENG 187C - BENG Design Proj:Implemntation (A),WI23,137,20,88.9%,88.9%,5.61,A- (3.89),N/A
"Wheeler, Bruce Christopher",BENG 187C - BENG Design Proj:Implemntation (A),WI23,137,20,88.9%,88.9%,5.61,A- (3.89),N/A
"Lal, Ratnesh",BENG 191 - Senior Sem I: Professnl Issues (A),WI23,11,4,100.0%,100.0%,3.50,A (4.00),N/A
"Opatkiewicz, Justin Paul",CENG 101A - Introductory Fluid Mechanics (A),WI23,31,27,84.6%,100.0%,11.22,B- (2.84),B (3.13)
"Liu, Ping",CENG 101B - Heat Transfer (A),WI23,77,41,84.6%,79.5%,8.50,B- (2.90),B (3.13)
"Powell, Alyssa",CENG 102 - Chemical Engin Thermodynamics (A),WI23,119,69,94.1%,97.1%,8.56,B (3.13),B (3.05)
"Lubarda, Vlado",CENG 114 - Prob and Stat Methods for Eng (A),WI23,93,76,89.3%,92.0%,4.50,B+ (3.66),B+ (3.47)
"Powell, Alyssa",CENG 124A - Chem Plant & Process Design I (A),WI23,49,30,96.7%,100.0%,6.50,B+ (3.47),B+ (3.63)
"Russ, Benjamin Edward",CENG 124A - Chem Plant & Process Design I (B),WI23,42,30,86.7%,93.3%,6.10,B+ (3.33),A- (3.73)
"Pokorski, Jonathan Kyle",CENG 134 - Polymeric Materials (A),WI23,45,21,100.0%,95.2%,5.45,B (3.00),B- (2.97)
"Drews, Aaron",CENG 15 - Engin. Comp Using MATLAB (A),WI23,25,12,83.3%,83.3%,5.33,A- (3.75),B- (2.88)
